BAA,AYBL,Bialla Airport,"Bialla, Papua New Guinea",UTC+10:00,
BAB,KBAB,Beale Air Force Base,"Marysville, California, United States",UTC−08:00,Mar-Nov
BAC,,Barranca de Upia Airport,"Barranca de Upía, Colombia",UTC−05:00,
BAD,KBAD,Barksdale Air Force Base,"Bossier City, Louisiana, United States",UTC−06:00,Mar-Nov
BAE,LFMR,Barcelonnette – Saint-Pons Airport,"Barcelonnette, Alpes-de-Haute-Provence, France",UTC+01:00,Mar-Oct
BAF,KBAF,Westfield-Barnes Regional Airport,"Westfield / Springfield, Massachusetts, United States",UTC−05:00,Mar-Nov
BAG,RPUB,Loakan Airport,"Baguio, Philippines",UTC+08:00,
BAH,OBBI,Bahrain International Airport,"Manama, Bahrain",UTC+03:00,
BAI,MRBA,Buenos Aires Airport,"Buenos Aires, Costa Rica",UTC−06:00,
BAJ,,Bali Airport,"Bali, Papua New Guinea",UTC+10:00,
BAK,,metropolitan area2,"Baku, Azerbaijan",UTC+04:00,
BAL,LTCJ,Batman Airport,"Batman, Turkey",UTC+03:00,
BAM,KBAM,Battle Mountain Airport (Lander County Airport),"Battle Mountain, Nevada, United States",UTC−08:00,Mar-Nov
BAN,FZVR,Basongo Airport,"Basongo, Democratic Republic of the Congo",UTC+02:00,
BAP,,Baibara Airport,"Baibara, Papua New Guinea",UTC+10:00,
BAQ,SKBQ,Ernesto Cortissoz International Airport,"Barranquilla, Colombia",UTC−05:00,
BAR,,Qionghai Bo'ao Airport,"Qionghai, Hainan, China",UTC+08:00,
BAS,AGGE,Balalae Airport,"Balalae Island, Western, Solomon Islands",UTC+11:00,
BAT,SBBT,Chafei Amsei Airport,"Barretos, São Paulo, Brazil",UTC−03:00,
BAV,ZBOW,Baotou Airport,"Baotou, Inner Mongolia, China",UTC+08:00,
BAW,,Biawonque Airport,"Biawonque, Gabon",UTC+01:00,
BAX,UNBB,Barnaul Airport,"Barnaul, Altai Krai, Russia",UTC+07:00,
BAY,LRBM,Baia Mare Airport,"Baia Mare, Romania",UTC+02:00,Mar-Oct
BAZ,SWBC,Barcelos Airport,"Barcelos, Amazonas, Brazil",UTC−04:00,
BBA,SCBA,Balmaceda Airport,"Balmaceda, Chile",UTC−04:00,Aug-May
BBB,KBBB,Benson Municipal Airport,"Benson, Minnesota, United States",UTC−06:00,Mar-Nov
BBC,KBYY,Bay City Municipal Airport (FAA: BYY),"Bay City, Texas, United States",UTC−06:00,Mar-Nov
BBD,KBBD,Curtis Field,"Brady, Texas, United States",UTC−06:00,Mar-Nov
BBG,NGTU,Butaritari Atoll Airport,"Butaritari Atoll, Kiribati",UTC+12:00,
BBH,EDBH,Stralsund–Barth Airport,"Stralsund / Barth, Mecklenburg-Vorpommern, Germany",UTC+01:00,Mar-Oct
BBI,VEBS,Biju Patnaik International Airport,"Bhubaneswar, Odisha, India",UTC+05:30,
BBJ,EDRB,Bitburg Airport (former Bitburg Air Base),"Bitburg, Rhineland-Palatinate, Germany",UTC+01:00,Mar-Oct
BBK,FBKE,Kasane Airport,"Kasane, Botswana",UTC+02:00,
BBL,YLLE,Ballera Airport,"Ballera gas plant, Queensland, Australia",UTC+10:00,
BBM,VDBG,Battambang Airport,"Battambang, Cambodia",UTC+07:00,
BBN,WBGZ,Bario Airport,"Bario, Sarawak, Malaysia",UTC+08:00,
BBO,HCMI,Berbera Airport,"Berbera, Somalia",UTC+03:00,
BBP,EGHJ,Bembridge Airport,"Bembridge, England",UTC±00:00,Mar-Oct
BBQ,TAPH,Barbuda Codrington Airport,"Barbuda, Antigua and Barbuda",UTC−04:00,
BBR,TFFB,Baillif Airport,"Basse-Terre, Guadeloupe",UTC−04:00,
BBS,EGLK,Blackbushe Airport,"Yateley, England",UTC±00:00,Mar-Oct
BBT,FEFT,Berbérati Airport,"Berbérati, Central African Republic",UTC+01:00,
BBU,LRBS,Aurel Vlaicu International Airport (Băneasa Airport),"Bucharest, Romania",UTC+02:00,Mar-Oct
BBV,DIGN,Nero-Mer Airport,"Grand-Béréby, Ivory Coast",UTC±00:00,
BBW,KBBW,Broken Bow Municipal Airport,"Broken Bow, Nebraska, United States",UTC−06:00,Mar-Nov
BBX,KLOM,Wings Field (FAA: LOM),"Philadelphia, Pennsylvania, United States",UTC−05:00,Mar-Nov
BBY,FEFM,Bambari Airport,"Bambari, Central African Republic",UTC+01:00,
BBZ,FLZB,Zambezi Airport,"Zambezi, Zambia",UTC+02:00,
BCA,MUBA,Gustavo Rizo Airport,"Baracoa, Cuba",UTC−05:00,Mar-Nov
BCB,KBCB,Virginia Tech Montgomery Executive Airport,"Blacksburg, Virginia, United States",UTC−05:00,Mar-Nov
BCC,,Bear Creek 3 Airport (FAA: Z48),"Bear Creek, Alaska, United States",UTC−09:00,Mar-Nov
BCD,RPVB,Bacolod–Silay International Airport,"Bacolod, Philippines",UTC+08:00,
BCE,KBCE,Bryce Canyon Airport,"Bryce Canyon, Utah, United States",UTC−07:00,Mar-Nov
BCF,FEGU,Bouca Airport,"Bouca, Central African Republic",UTC+01:00,
BCG,,Bemichi Airport,"Kumaka, Guyana",UTC−04:00,
BCH,WPEC,Baucau Airport,"Baucau, East Timor",UTC+09:00,
BCI,YBAR,Barcaldine Airport,"Barcaldine, Queensland, Australia",UTC+10:00,
BCK,YBWR,Bolwarra Airport,"Bolwarra, Queensland, Australia",UTC+10:00,
BCL,MRBC,Barra del Colorado Airport,"Barra del Colorado, Costa Rica",UTC−06:00,
BCM,LRBC,Bacău International Airport,"Bacău, Romania",UTC+02:00,Mar-Oct
BCN,LEBL,Barcelona–El Prat Airport,"Barcelona, Catalonia, Spain",UTC+01:00,Mar-Oct
BCO,HABC,Baco Airport (Jinka Airport),"Jinka, Ethiopia",UTC+03:00,
BCP,AYBC,Bambu Airport,"Bambu, Papua New Guinea",UTC+10:00,
BCQ,,Brak Airport,"Brak, Libya",UTC+02:00,
BCR,SWNK,Novo Campo Airport,"Boca do Acre, Amazonas, Brazil",UTC−05:00,
BCS,,Southern Seaplane Airport (FAA: 65LA),"Belle Chasse, Louisiana, United States",UTC−06:00,Mar-Nov
BCT,KBCT,Boca Raton Airport,"Boca Raton, Florida, United States",UTC−05:00,Mar-Nov
BCU,,Bauchi State Airport,"Bauchi, Nigeria",UTC+01:00,
BCV,,Hector Silva Airstrip,"Belmopan, Belize",UTC−06:00,
BCW,,Benguerra Island Airport,"Benguerra Island, Mozambique",UTC+02:00,
BCX,UWUB,Beloretsk Airport,"Beloretsk, Republic of Bashkortostan, Russia",UTC+05:00,
BCY,HABU,Bulchi Airport,"Bulchi, Ethiopia",UTC+03:00,
BCZ,,Bickerton Island Airport,"Bickerton Island, Northern Territory, Australia",UTC+09:30,
BDA,TXKF,L.F. Wade International Airport,"Hamilton, British Overseas Territory of Bermuda",UTC−04:00,Mar-Nov
BDB,YBUD,Bundaberg Airport,"Bundaberg, Queensland, Australia",UTC+10:00,
BDC,SNBC,Barra do Corda Airport,"Barra do Corda, Maranhão, Brazil",UTC−03:00,
BDD,YBAU,Badu Island Airport,"Badu Island, Queensland, Australia",UTC+10:00,
BDE,KBDE,Baudette International Airport,"Baudette, Minnesota, United States",UTC−06:00,Mar-Nov
BDF,,Rinkenberger RLA Airport (FAA: 3IS8),"Bradford, Illinois, United States",UTC−06:00,Mar-Nov
BDG,KBDG,Blanding Municipal Airport,"Blanding, Utah, United States",UTC−07:00,Mar-Nov
