CAA,MHGE,El Aguacate Airport,"Catacamas, Honduras",UTC−06:00,
CAB,FNCA,Cabinda Airport,"Cabinda, Angola",UTC+01:00,
CAC,SBCA,Cascavel Airport (Adalberto Mendes da Silva Airport),"Cascavel, Paraná, Brazil",UTC−03:00,
CAD,KCAD,Wexford County Airport,"Cadillac, Michigan, United States",UTC−05:00,Mar–Nov
CAE,KCAE,Columbia Metropolitan Airport,"Columbia, South Carolina, United States",UTC−05:00,Mar–Nov
CAF,SWCA,Carauari Airport,"Carauari, Amazonas, Brazil",UTC−05:00,
CAG,LIEE,Cagliari Elmas Airport,"Cagliari, Sardinia, Italy",UTC+01:00,Mar–Oct
CAH,VVCM,Cà Mau Airport,"Cà Mau, Vietnam",UTC+07:00,
CAI,HECA,Cairo International Airport,"Cairo, Egypt",UTC+02:00,
CAJ,SVCN,Canaima Airport,"Canaima, Venezuela",UTC−04:00,
CAK,KCAK,Akron-Canton Airport,"Akron / Canton, Ohio, United States",UTC−05:00,Mar–Nov
CAL,EGEC,Campbeltown Airport / RAF Machrihanish,"Campbeltown, Scotland, United Kingdom",UTC±00:00,Mar–Oct
CAM,SLCA,Camiri Airport,"Camiri, Bolivia",UTC−04:00,
CAN,ZGGG,Guangzhou Baiyun International Airport,"Guangzhou, Guangdong, China",UTC+08:00,
CAO,KCAO,Clayton Municipal Airpark,"Clayton, New Mexico, United States",UTC−07:00,Mar–Nov
CAP,MTCH,Hugo Chávez International Airport,"Cap-Haïtien, Haiti",UTC−05:00,Mar–Nov
CAQ,SKCU,Juan H. White Airport,"Caucasia, Colombia",UTC−05:00,
CAR,KCAR,Caribou Municipal Airport,"Caribou, Maine, United States",UTC−05:00,Mar–Nov
CAS,GMMC,Anfa Airport,"Casablanca, Morocco",UTC±00:00,Mar–Oct1
CAT,LPCS,Cascais Municipal Aerodrome[1],"Cascais, Portugal",UTC±00:00,Mar–Oct
CAU,SNRU,Caruaru Airport (Oscar Laranjeiras Airport),"Caruaru, Pernambuco, Brazil",UTC−03:00,
CAV,FNCZ,Cazombo Airport,"Cazombo, Angola",UTC+01:00,
CAW,SBCP,Bartolomeu Lysandro Airport,"Campos dos Goytacazes, Rio de Janeiro, Brazil",UTC−03:00,
CAX,EGNC,Carlisle Lake District Airport,"Carlisle, England, United Kingdom",UTC±00:00,Mar–Oct
CAY,SOCA,Cayenne – Félix Eboué Airport,"Cayenne, French Guiana",UTC−03:00,
CAZ,YCBA,Cobar Airport,"Cobar, New South Wales, Australia",UTC+10:00,Oct–Apr
CBB,SLCB,Jorge Wilstermann International Airport,"Cochabamba, Bolivia",UTC−04:00,
CBC,,Cherrabun Airport,"Cherrabun, Western Australia, Australia",UTC+08:00,
CBD,VOCX,Car Nicobar Air Force Base,"Car Nicobar, Andaman and Nicobar Islands, India",UTC+05:30,
CBE,KCBE,Greater Cumberland Regional Airport,"Cumberland, Maryland, United States",UTC−05:00,Mar–Nov
CBF,KCBF,Council Bluffs Municipal Airport,"Council Bluffs, Iowa, United States",UTC−06:00,Mar–Nov
CBG,EGSC,Cambridge Airport,"Cambridge, England, United Kingdom",UTC±00:00,Mar–Oct
CBH,DAOR,Boudghene Ben Ali Lotfi Airport,"Béchar, Algeria",UTC+01:00,
CBI,,Cape Barren Island Airport,"Cape Barren Island, Tasmania, Australia",UTC+10:00,Oct–Apr
CBJ,MDCR,Cabo Rojo Airport,"Pedernales, Dominican Republic",UTC−04:00,
CBK,KCBK,Colby Municipal Airport (Shalz Field),"Colby, Kansas, United States",UTC−06:00,Mar–Nov
CBL,SVCB,Tomás de Heres Airport,"Ciudad Bolívar, Venezuela",UTC−04:00,
CBM,KCBM,Columbus Air Force Base,"Columbus, Mississippi, United States",UTC−06:00,Mar–Nov
CBN,WICD,Penggung Airport (Cakrabuwana Airport),"Cirebon, Indonesia",UTC+07:00,
CBO,RPMC,Awang Airport,"Cotabato City, Philippines",UTC+08:00,
CBP,LPCO,Coimbra Airport,"Coimbra, Portugal",UTC±00:00,Mar–Oct
CBQ,DNCA,Margaret Ekpo International Airport,"Calabar, Nigeria",UTC+01:00,
CBR,YSCB,Canberra Airport,"Canberra, Australian Capital Territory, Australia",UTC+10:00,Oct–Apr
CBS,SVON,Oro Negro Airport,"Cabimas, Venezuela",UTC−04:00,
CBT,FNCT,Catumbela Airport,"Catumbela, Angola",UTC+01:00,
CBU,EDCD,Cottbus-Drewitz Airport,"Cottbus, Brandenburg, Germany",UTC+01:00,Mar–Oct
CBV,MGCB,Cobán Airport,"Cobán, Guatemala",UTC−06:00,
CBW,SSKM,Campo Mourão Airport,"Campo Mourão, Paraná, Brazil",UTC−03:00,
CBX,YCDO,Condobolin Airport,"Condobolin, New South Wales, Australia",UTC+10:00,Oct–Apr
CBY,,Canobie Airport,"Canobie Station, Queensland, Australia",UTC+10:00,
CCA,SLCH,Chimore Airport,"Chimoré, Cochabamba, Bolivia",UTC−04:00,
CCB,KCCB,Cable Airport,"Upland, California, United States",UTC−08:00,Mar–Nov
CCC,MUCC,Jardines del Rey Airport,"Cayo Coco, Cuba",UTC−05:00,Mar–Nov
CCF,LFMK,Carcassonne Airport,"Carcassonne, Languedoc-Roussillon, France",UTC+01:00,Mar–Oct
CCG,,Crane County Airport (FAA: E13),"Crane, Texas, United States",UTC−06:00,Mar–Nov
CCH,SCCC,Chile Chico Airfield,"Chile Chico, Chile",UTC−04:00,Aug–May
CCI,SSCK,Concórdia Airport,"Concórdia, Santa Catarina, Brazil",UTC−03:00,
CCJ,VOCL,Calicut International Airport,"Kozhikode (Calicut), Kerala, India",UTC+05:30,
CCK,YPCC,Cocos (Keeling) Islands Airport,"Cocos (Keeling) Islands, Australia",UTC+06:30,
CCL,YCCA,Chinchilla Airport,"Chinchilla, Queensland, Australia",UTC+10:00,
CCM,SBCM,Diomício Freitas Airport,"Criciúma, Santa Catarina, Brazil",UTC−03:00,
CCN,OACC,Chaghcharan Airport,"Chaghcharan, Afghanistan",UTC+04:30,
CCO,SKCI,Carimagua Airport,"Carimagua, Colombia",UTC−05:00,
CCP,SCIE,Carriel Sur International Airport,"Concepción, Chile",UTC−04:00,Aug–May
CCR,KCCR,Buchanan Field Airport,"Concord, California, United States",UTC−08:00,Mar–Nov
CCS,SVMI,Simón Bolívar International Airport,"Caracas, Venezuela",UTC−04:00,
CCT,,Colonia Catriel Airport,"Catriel, Río Negro, Argentina",UTC−03:00,
CCU,VECC,Netaji Subhas Chandra Bose International Airport,"Kolkata, West Bengal, India",UTC+05:30,
CCV,NVSF,Craig Cove Airport,"Craig Cove, Ambrym Island, Malampa, Vanuatu",UTC+11:00,
CCW,YCWL,Cowell Airport,"Cowell, South Australia, Australia",UTC+09:30,Oct–Apr
CCX,SWKC,Cáceres Airport,"Cáceres, Mato Grosso, Brazil",UTC−03:00,
CCY,KCCY,Northeast Iowa Regional Airport,"Charles City, Iowa, United States",UTC−06:00,Mar–Nov
