DAA,KDAA,Davison Army Airfield,"Fort Belvoir, Virginia, United States",UTC−05:00,Mar-Nov
DAB,KDAB,Daytona Beach International Airport,"Daytona Beach, Florida, United States",UTC−05:00,Mar-Nov
DAC,VGHS,Shahjalal International Airport,"Dhaka, Bangladesh",UTC+06:00,
DAD,VVDN,Da Nang International Airport,"Da Nang, Vietnam",UTC+07:00,
DAF,,Daup Airport,"Daup, Papua New Guinea",UTC+10:00,
DAG,KDAG,Barstow-Daggett Airport,"Daggett, California, United States",UTC−08:00,Mar-Nov
DAH,,Dathina Airport,"Dathina, Yemen",UTC+03:00,
DAK,HEDK,Dakhla Oasis Airport,"Dakhla Oasis, Egypt",UTC+02:00,
DAL,KDAL,Dallas Love Field,"Dallas, Texas, United States",UTC−06:00,Mar-Nov
DAM,OSDI,Damascus International Airport,"Damascus, Syria",UTC+02:00,Mar-Oct
DAN,KDAN,Danville Regional Airport,"Danville, Virginia, United States",UTC−05:00,Mar-Nov
DAO,,Dabo Airport[1],"Dabo, Papua New Guinea",UTC+10:00,
DAP,VNDL,Darchula Airport,"Darchula, Nepal",UTC+05:45,
DAR,HTDA,Julius Nyerere International Airport,"Dar es Salaam, Tanzania",UTC+03:00,
DAS,,Great Bear Lake Airport[1] (TC: CFF4),"Great Bear Lake, Northwest Territories, Canada",UTC−08:00,Mar-Nov
DAT,ZBDT,Datong Yungang Airport,"Datong, Shanxi, China",UTC+08:00,
DAU,AYDU,Daru Airport,"Daru, Papua New Guinea",UTC+10:00,
DAV,MPDA,Enrique Malek International Airport,"David, Panama",UTC−05:00,
DAX,ZUDX,Dazhou Heshi Airport,"Dazhou, Sichuan, China",UTC+08:00,
DAY,KDAY,Dayton International Airport,"Dayton, Ohio, United States",UTC−05:00,Mar-Nov
DAZ,OADZ,Darwaz Airport,"Darwaz, Afghanistan",UTC+04:30,
DBA,OPDB,Dalbandin Airport,"Dalbandin, Pakistan",UTC+05:00,
DBB,HEAL[2],Al Alamain International Airport[1],"El Alamein, Egypt",UTC+02:00,
DBC,ZYBA,Baicheng Chang'an Airport[1],"Baicheng, Jilin, China",UTC+08:00,
DBD,VEDB,Dhanbad Airport,"Dhanbad, Jharkhand, India",UTC+05:30,
DBK,,Dutch Bay Seaplane Base[1],"Kalpitiya, Sri Lanka",UTC+05:30,
DBM,HADM,Debre Marqos Airport,"Debre Marqos, Ethiopia",UTC+03:00,
DBN,KDBN,W. H. 'Bud' Barron Airport,"Dublin, Georgia, United States",UTC−05:00,Mar-Nov
DBO,YSDU,Dubbo City Regional Airport,"Dubbo, New South Wales, Australia",UTC+10:00,Oct-Apr
DBP,AYDB,Debepare Airport,"Debepare, Papua New Guinea",UTC+10:00,
DBQ,KDBQ,Dubuque Regional Airport,"Dubuque, Iowa, United States",UTC−06:00,Mar-Nov
DBR,VE89,Darbhanga Airport,"Darbhanga, Bihar, India",UTC+05:30,
DBS,,Dubois Municipal Airport (FAA: U41),"Dubois, Idaho, United States",UTC−07:00,Mar-Nov
DBT,HADT,Debre Tabor Airport,"Debre Tabor, Ethiopia",UTC+03:00,
DBU,,Dambulu Oya Tank Seaplane Base[1],"Dambulla, Sri Lanka",UTC+05:30,
DBV,LDDU,Dubrovnik Airport,"Dubrovnik, Croatia",UTC+01:00,Mar-Oct
DBY,YDAY,Dalby Airport,"Dalby, Queensland, Australia",UTC+10:00,
DCA,KDCA,Ronald Reagan Washington National Airport,"Arlington County (near Washington, D.C.), Virginia, United States",UTC−05:00,Mar-Nov
DCF,TDCF,Canefield Airport,"Canefield, Dominica",UTC−04:00,
DCG,,Dubai Creek Seaplane Base[1],"Dubai, United Arab Emirates",UTC+04:00,
DCI,LIED,Decimomannu Air Base,"Decimomannu, Sardinia, Italy",UTC+01:00,Mar-Oct
DCK,,Dahl Creek Airport,"Dahl Creek, Alaska, United States",UTC−09:00,Mar-Nov
DCM,LFCK,Castres–Mazamet Airport,"Castres, Midi-Pyrénées, France",UTC+01:00,Mar-Oct
DCN,YCIN,RAAF Base Curtin[1],"Derby, Western Australia, Australia",UTC+08:00,
DCT,MYRD,Duncan Town Airport,"Duncan Town, Ragged Island, Bahamas",UTC−05:00,Mar-Nov
DCU,KDCU,Pryor Field Regional Airport,"Decatur, Alabama, United States",UTC−06:00,Mar-Nov
DCY,ZUDC,Daocheng Yading Airport,"Daocheng, Sichuan, China",UTC+08:00,
DDC,KDDC,Dodge City Regional Airport,"Dodge City, Kansas, United States",UTC−06:00,Mar-Nov
DDD,VRMU,Dhaalu Airport,"Dhaalu Atoll, Maldives",UTC+05:00,
DDG,ZYDD,Dandong Langtou Airport,"Dandong, Liaoning, China",UTC+08:00,
DDM,,Dodoima Airport,"Dodoima, Papua New Guinea",UTC+10:00,
DDN,YDLT,Delta Downs Airport,"Delta Downs, Queensland, Australia",UTC+10:00,
DDU,OPDD,Dadu Airport,"Dadu, Pakistan",UTC+05:00,
DEA,OPDG,Dera Ghazi Khan International Airport,"Dera Ghazi Khan, Pakistan",UTC+05:00,
DEB,LHDC,Debrecen International Airport,"Debrecen, Hungary",UTC+01:00,Mar-Oct
DEC,KDEC,Decatur Airport,"Decatur, Illinois, United States",UTC−06:00,Mar-Nov
DED,VIDN,Jolly Grant Airport,"Dehradun, Uttarakhand, India",UTC+05:30,
DEE,UHSM,Yuzhno-Kurilsk Mendeleyevo Airport[1],"Yuzhno-Kurilsk, Sakhalin Oblast, Russia",UTC+11:00,
DEF,OIAD,Dezful Airport,"Dezful, Iran",UTC+03:30,Mar-Sep
DEH,KDEH,Decorah Municipal Airport,"Decorah, Iowa, United States",UTC−06:00,Mar-Nov
DEI,FSSD,Denis Island Airport,"Denis Island, Seychelles",UTC+04:00,
DEL,VIDP,Indira Gandhi International Airport,"Delhi, India",UTC+05:30,
DEM,HADD,Dembidolo Airport,"Dembidolo, Ethiopia",UTC+03:00,
DEN,KDEN,Denver International Airport,"Denver, Colorado, United States",UTC−07:00,Mar-Nov
DEP,VEDZ,Daporijo Airport,"Daporijo, Arunachal Pradesh, India",UTC+05:30,
DEQ,,Deqing Moganshan Airport,"Deqing, Zhejiang, China",UTC+08:00,
DER,AYDE,Derim Airport,"Derim, Papua New Guinea",UTC+10:00,
DES,FSDR,Desroches Airport,"Desroches Island, Seychelles",UTC+04:00,
