EAA,PAEG,Eagle Airport,"Eagle, Alaska, United States",UTC−09:00,Mar-Nov
EAB,ODAS,Abbs Airport,"Abbs, Yemen",UTC+03:00,
EAE,NVSE,Siwo Airport,"Emae Island, Shefa, Vanuatu",UTC+11:00,
EAL,,Elenak Airport,"Mejato Island, Kwajalein Atoll, Marshall Islands",UTC+12:00,
EAM,OENG,Najran Domestic Airport,"Najran, Saudi Arabia",UTC+03:00,
EAN,KEAN,Phifer Airfield,"Wheatland, Wyoming, United States",UTC−07:00,Mar-Nov
EAP[1],,metropolitan area2,"Basel, Switzerland / Mulhouse, Alsace, France",UTC+01:00,Mar-Oct
EAR,KEAR,Kearney Regional Airport,"Kearney, Nebraska, United States",UTC−06:00,Mar-Nov
EAS,LESO,San Sebastián Airport,"San Sebastián, Basque Country, Spain",UTC+01:00,Mar-Oct
EAT,KEAT,Pangborn Memorial Airport,"Wenatchee, Washington, United States",UTC−08:00,Mar-Nov
EAU,KEAU,Chippewa Valley Regional Airport,"Eau Claire, Wisconsin, United States",UTC−06:00,Mar-Nov
EBA,LIRJ,Marina di Campo Airport,"Elba Island, Tuscany, Italy",UTC+01:00,Mar-Oct
EBB,HUEN,Entebbe International Airport,"Entebbe, Uganda",UTC+03:00,
EBD,HSOB,El Obeid Airport,"El Obeid, Sudan",UTC+03:00,
EBG,SKEB,El Bagre Airport (El Tomin Airport),"El Bagre, Colombia",UTC−05:00,
EBH,DAOY,El Bayadh Airport[1],"El Bayadh, Algeria",UTC+01:00,
EBJ,EKEB,Esbjerg Airport,"Esbjerg, Denmark",UTC+01:00,Mar-Oct
EBL,ORER,Erbil International Airport,"Erbil, Iraq",UTC+03:00,
EBM,DTTR,El Borma Airport,"El Borma, Tunisia",UTC+01:00,
EBN,,Ebadon Airstrip,"Ebadon Island, Kwajalein Atoll, Marshall Islands",UTC+12:00,
EBO,,Ebon Airport,"Ebon Atoll, Marshall Islands",UTC+12:00,
EBS,KEBS,Webster City Municipal Airport,"Webster City, Iowa, United States",UTC−06:00,Mar-Nov
EBU,LFMH,Saint-Étienne–Bouthéon Airport,"Saint-Étienne, Rhône-Alpes, France",UTC+01:00,Mar-Oct
EBW,FKKW,Ebolowa Airport,"Ebolowa, Cameroon",UTC+01:00,
ECA,,Iosco County Airport (FAA: 6D9),"East Tawas, Michigan, United States",UTC−05:00,Mar-Nov
ECG,KECG,Elizabeth City Regional Airport,"Elizabeth City, North Carolina, United States",UTC−05:00,Mar-Nov
ECH,YECH,Echuca Airport,"Echuca, Victoria, Australia",UTC+10:00,Oct-Apr
ECI,MNLP,Costa Esmeralda Airport[1],"Rivas, Nicaragua",UTC−06:00,
ECN,LCEN,Ercan International Airport[1],"Nicosia (Lefkoşa), Northern Cyprus",UTC+03:00,
ECO,,El Encanto Airport,"El Encanto, Colombia",UTC−05:00,
ECP,KECP,Northwest Florida Beaches International Airport,"Panama City, Florida, United States",UTC−06:00,Mar-Nov
ECR,SKEH[2],El Charco Airport,"El Charco, Colombia",UTC−05:00,
ECS,KECS,Mondell Field,"Newcastle, Wyoming, United States",UTC−07:00,Mar-Nov
-ED-,,,,,
EDA,,Edna Bay Seaplane Base[1],"Edna Bay, Alaska, United States",UTC−09:00,Mar-Nov
EDB,HSDB,El Debba Airport,"El Debba, Sudan",UTC+03:00,
EDD,,Erldunda Airport,"Erldunda, Northern Territory, Australia",UTC+09:30,
EDE,KEDE,Northeastern Regional Airport,"Edenton, North Carolina, United States",UTC−05:00,Mar-Nov
EDF,PAED,Elmendorf Air Force Base,"Anchorage, Alaska, United States",UTC−09:00,Mar-Nov
EDI,EGPH,Edinburgh Airport,"Edinburgh, Scotland, United Kingdom",UTC±00:00,Mar-Oct
EDK,KEQA,Captain Jack Thomas/El Dorado Airport (FAA: EQA),"El Dorado, Kansas, United States",UTC−06:00,Mar-Nov
EDL,HKEL,Eldoret International Airport,"Eldoret, Kenya",UTC+03:00,
EDM,LFRI,La Roche-sur-Yon Aerodrome,"La Roche-sur-Yon, Pays de la Loire, France",UTC+01:00,Mar-Oct
EDO,LTFD,Balıkesir Koca Seyit Airport,"Edremit, Turkey",UTC+03:00,
EDQ,,Erandique Airport,"Erandique, Honduras",UTC−06:00,
EDR,YPMP,Edward River Airport,"Pormpuraaw, Queensland, Australia",UTC+10:00,
EDW,KEDW,Edwards Air Force Base,"Edwards, California, United States",UTC−08:00,Mar-Nov
EEA,SNCP,Planalto Serrano Regional Airport,"Correia Pinto, Santa Catarina, Brazil",UTC−03:00,
EED,KEED,Needles Airport,"Needles, California, United States",UTC−08:00,Mar-Nov
EEK,PAEE,Eek Airport,"Eek, Alaska, United States",UTC−09:00,Mar-Nov
EEN,KEEN,Dillant–Hopkins Airport,"Keene, New Hampshire, United States",UTC−05:00,Mar-Nov
EFD,KEFD,Ellington Field,"Houston, Texas, United States",UTC−06:00,Mar-Nov
EFG,AYEF,Efogi Airport,"Efogi, Papua New Guinea",UTC+10:00,
EFK,KEFK,Newport State Airport,"Newport, Vermont, United States",UTC−05:00,Mar-Nov
EFL,LGKF,Cephalonia International Airport,"Cephalonia, Greece",UTC+02:00,Mar-Oct
EFW,KEFW,Jefferson Municipal Airport,"Jefferson, Iowa, United States",UTC−06:00,Mar-Nov
EGA,AYEN,Engati Airport,"Engati, Papua New Guinea",UTC+10:00,
EGC,LFBE,Bergerac Dordogne Périgord Airport,"Bergerac, Aquitaine, France",UTC+01:00,Mar-Oct
EGE,KEGE,Eagle County Regional Airport,"Eagle / Vail, Colorado, United States",UTC−07:00,Mar-Nov
EGI,KEGI,Duke Field (Eglin Auxiliary Field 3),"Crestview, Florida, United States",UTC−06:00,Mar-Nov
EGL,HANG,Neghelle Airport,"Neghelle, Ethiopia",UTC+03:00,
EGM,AGGS,Seghe Airport,"Seghe, Western Province, Solomon Islands",UTC+11:00,
EGN,HSGN,Geneina Airport,"Geneina, Sudan",UTC+03:00,
EGO,UUOB,Belgorod International Airport,"Belgorod, Belgorod Oblast, Russia",UTC+03:00,
EGP,,Maverick County Memorial International Airport,"Eagle Pass, Texas, United States",UTC−06:00,Mar-Nov
EGS,BIEG,Egilsstaðir Airport,"Egilsstaðir, Iceland",UTC±00:00,
EGV,KEGV,Eagle River Union Airport,"Eagle River, Wisconsin, United States",UTC−06:00,Mar-Nov
EGX,PAII,Egegik Airport (FAA: EII),"Egegik, Alaska, United States",UTC−09:00,Mar-Nov
EHL,SAVB,El Bolsón Airport,"El Bolsón, Río Negro, Argentina",UTC−03:00,
EHM,PAEH,Cape Newenham LRRS Airport,"Cape Newenham, Alaska, United States",UTC−09:00,Mar-Nov
EHU,ZHEC,Ezhou Huahu Airport,"Echeng District, Ezhou, Hubei, China",UTC+08:00,
EIA,,Popondetta Airport,"Eia, Papua New Guinea",UTC+10:00,
EIB,EDGE,Eisenach-Kindel Airport[1],"Eisenach, Thuringia, Germany",UTC+01:00,Mar-Oct
EIE,UNII,Yeniseysk Airport,"Yeniseysk, Krasnoyarsk Krai, Russia",UTC+07:00,
EIH,,Einasleigh Airport,"Einasleigh, Queensland, Australia",UTC+10:00,
EIK,URKE,Yeysk Airport[1],"Yeysk, Krasnodar Krai, Russia",UTC+03:00,
EIL,PAEI,Eielson Air Force Base,"Fairbanks, Alaska, United States",UTC−09:00,Mar-Nov
EIN,EHEH,Eindhoven Airport,"Eindhoven, Netherlands",UTC+01:00,Mar-Oct
EIS,TUPJ,Terrance B. Lettsome International Airport,"Tortola, British Overseas Territory of Virgin Islands",UTC−04:00,
EIY,LLEY,Ein Yahav Airfield,"Ein Yahav, Israel",UTC+02:00,Mar-Oct
EJA,SKEJ,Yariguíes Airport,"Barrancabermeja, Colombia",UTC−05:00,
EJH,OEWJ,Al Wajh Domestic Airport,"Al Wajh, Saudi Arabia",UTC+03:00,
EJN,,Ejin Banner Taolai Airport,"Ejin Banner, Inner Mongolia, China",UTC+08:00,
EJT,,Enejit Airport,"Enejit, Mili Atoll, Marshall Islands",UTC+12:00,
EKA,KEKA,Murray Field,"Eureka, California, United States",UTC−08:00,Mar-Nov
