FAA,GUFH,Faranah Airport,"Faranah, Guinea",UTC±00:00,
FAB,EGLF,Farnborough Airport,"Farnborough, England, United Kingdom",UTC±00:00,Mar-Oct
FAC,NTKF,Faaite Airport,"Faaite, Tuamotus, French Polynesia",UTC−10:00,
FAE,EKVG,Vágar Airport,"Vágar, Faroe Islands",UTC±00:00,Mar-Oct
FAF,KFAF,Felker Army Airfield,"Fort Eustis, Virginia, United States",UTC−05:00,Mar-Nov
FAG,BIFM,Fagurhólsmýri Airport,"Fagurhólsmýri, Iceland",UTC±00:00,
FAH,OAFR,Farah Airport,"Farah, Afghanistan",UTC+04:30,
FAI,PAFA,Fairbanks International Airport,"Fairbanks, Alaska, United States",UTC−09:00,Mar-Nov
FAJ,TJFA,Diego Jiménez Torres Airport (FAA: X95),"Fajardo, Puerto Rico, United States",UTC−04:00,
FAK,,False Island Seaplane Base (FAA: 2Z6),"False Island, Alaska, United States",UTC−09:00,Mar-Nov
FAM,KFAM,Farmington Regional Airport,"Farmington, Missouri, United States",UTC−06:00,Mar-Nov
FAO,LPFR,Faro Airport,"Faro, Portugal",UTC±00:00,Mar-Oct
FAQ,AYFR,Frieda River Airport,"Frieda River, Papua New Guinea",UTC+10:00,
FAR,KFAR,Hector International Airport,"Fargo, North Dakota, United States",UTC−06:00,Mar-Nov
FAS,BIFF,Fáskrúðsfjörður Airport,"Fáskrúðsfjörður, Iceland",UTC±00:00,
FAT,KFAT,Fresno Yosemite International Airport,"Fresno, California, United States",UTC−08:00,Mar-Nov
FAU,OOFD,Fahud Airport[1],"Fahud, Oman",UTC+04:00,
FAV,NTGF,Fakarava Airport,"Fakarava, Tuamotus, French Polynesia",UTC−10:00,
FAY,KFAY,Fayetteville Regional Airport (Grannis Field),"Fayetteville, North Carolina, United States",UTC−05:00,Mar-Nov
FAZ,OISF,Fasa Airport[1],"Fasa, Iran",UTC+03:30,Mar-Sep
FBA,SWOB,Fonte Boa Airport[1],"Fonte Boa, Amazonas, Brazil",UTC−05:00,
FBD,OAFZ,Fayzabad Airport,"Fayzabad, Afghanistan",UTC+04:30,
