HAA,ENHK,Hasvik Airport,"Hasvik, Norway",UTC+01:00,Mar-Oct
HAB,KHAB,Marion County – Rankin Fite Airport,"Hamilton, Alabama, United States",UTC−06:00,Mar-Nov
HAC,RJTH,Hachijojima Airport,"Hachijō-jima (Hachijojima), Izu Islands, Japan",UTC+09:00,
HAD,ESMT,Halmstad Airport (Halmstad City Airport),"Halmstad, Sweden",UTC+01:00,Mar-Oct
HAF,KHAF,Half Moon Bay Airport,"Half Moon Bay, California, United States",UTC−08:00,Mar-Nov
HAH,FMCH,Prince Said Ibrahim International Airport,"Moroni, Comoros",UTC+03:00,
HAI,KHAI,Three Rivers Municipal Airport (Dr. Haines Flying Field),"Three Rivers, Michigan, United States",UTC−05:00,Mar-Nov
HAJ,EDDV,Hannover Airport,"Hanover, Lower Saxony, Germany",UTC+01:00,Mar-Oct
HAK,ZJHK,Haikou Meilan International Airport,"Haikou, Hainan, China",UTC+08:00,
HAL,FYHI,Halali Airport,"Halali, Namibia",UTC+01:00,Sep-Apr
HAM,EDDH,Hamburg Airport,"Hamburg, Germany",UTC+01:00,Mar-Oct
HAN,VVNB,Noi Bai International Airport,"Hanoi, Vietnam",UTC+07:00,
HAO,KHAO,Butler County Regional Airport,"Hamilton, Ohio, United States",UTC−05:00,Mar-Nov
HAQ,VRMH,Hanimaadhoo International Airport,"Hanimaadhoo, Haa Dhaalu Atoll, Maldives",UTC+05:00,
HAR,KCXY,Capital City Airport (FAA: CXY),"Harrisburg, Pennsylvania, United States",UTC−05:00,Mar-Nov
HAS,OEHL,Ha'il Regional Airport,"Ha'il (Hail), Saudi Arabia",UTC+03:00,
HAT,YHTL,Heathlands Airport,"Heathlands, Queensland, Australia",UTC+10:00,
HAU,ENHD,"Haugesund Airport, Karmøy","Haugesund, Norway",UTC+01:00,Mar-Oct
HAV,MUHA,José Martí International Airport,"Havana, Cuba",UTC−05:00,Mar-Nov
HAW,EGFE,Haverfordwest Aerodrome,"Haverfordwest, Wales, United Kingdom",UTC±00:00,Mar-Oct
HAY,,Hacaritama Airport,"Aguachica, Colombia",UTC−05:00,
HAZ,,Hatzfeldthaven Airport,"Hatzfeldthaven, Papua New Guinea",UTC+10:00,
HBA,YMHB,Hobart International Airport,"Hobart, Tasmania, Australia",UTC+10:00,Oct-Apr
HBB,,Hobbs Industrial Airpark,"Hobbs, New Mexico, United States",UTC−07:00,Mar-Nov
HBD,,Habi Airport,"Habi, Papua New Guinea",UTC+10:00,
