IAA,UOII,Igarka Airport,"Igarka, Krasnoyarsk Krai, Russia",UTC+07:00,
IAB,KIAB,McConnell Air Force Base,"Wichita, Kansas, United States",UTC−06:00,Mar-Nov
IAD,KIAD,Washington Dulles International Airport,"Washington, D.C.,1 United States",UTC−05:00,Mar-Nov
IAG,KIAG,Niagara Falls International Airport,"Niagara Falls, New York, United States",UTC−05:00,Mar-Nov
IAH,KIAH,George Bush Intercontinental Airport,"Houston, Texas, United States",UTC−06:00,Mar-Nov
IAM,DAUZ,In Amenas Airport (Zarzaitine Airport),"In Amenas, Algeria",UTC+01:00,
IAN,PAIK,Bob Baker Memorial Airport,"Kiana, Alaska, United States",UTC−09:00,Mar-Nov
IAO,RPNS,Sayak Airport[1] (Siargao Airport),"Del Carmen, Philippines",UTC+08:00,
IAQ,OIBH[2],Bahregan Airport,"Bahregan, Iran",UTC+03:30,Mar-Sep
IAR,UUDL,Tunoshna Airport,"Yaroslavl, Yaroslavl Oblast, Russia",UTC+03:00,
IAS,LRIA,Iași International Airport,"Iași, Romania",UTC+02:00,Mar-Oct
IAU,,Iaura Airport,"Iaura, Papua New Guinea",UTC+10:00,
IBA,DNIB,Ibadan Airport,"Ibadan, Nigeria",UTC+01:00,
IBB,SEII[3],General Villamil Airport[1],"Isabela Island, Galápagos Islands, Ecuador",UTC−06:00,
IBE,SKIB,Perales Airport,"Ibagué, Colombia",UTC−05:00,
IBI,,Iboki Airport,"Iboki, Papua New Guinea",UTC+10:00,
IBL,,Indigo Bay Lodge Airport,"Bazaruto Island, Mozambique",UTC+02:00,
IBO,,Ibo Island Airport[1],"Ibo Island, Mozambique",UTC+02:00,
IBP,SPBR,Iberia Airport,"Iberia, Peru",UTC−05:00,
IBR,RJAH,Ibaraki Airport,"Omitama, Honshu, Japan",UTC+09:00,
IBZ,LEIB,Ibiza Airport,"Ibiza, Balearic Islands, Spain",UTC+01:00,Mar-Oct
ICA,SVIC,Icabarú Airport,"Icabarú, Venezuela",UTC−04:00,
ICC,SVIE,Andrés Miguel Salazar Marcano Airport[1],"Coche Island, Venezuela",UTC−04:00,
ICI,NFCI,Cicia Airport,"Cicia Island, Fiji",UTC+12:00,Nov-Jan
ICK,SMNI,Majoor Henk Fernandes Airport (Nieuw Nickerie Airport),"Nieuw Nickerie, Suriname",UTC−03:00,
ICL,KICL,Schenck Field,"Clarinda, Iowa, United States",UTC−06:00,Mar-Nov
ICN,RKSI,Incheon International Airport,"Seoul, South Korea",UTC+09:00,
ICO,RPSG,Sicogon Airport,"Sicogon, Philippines",UTC+08:00,
ICS,,Cascade Airport[1] (FAA: KU70),"Cascade, Idaho, United States",UTC−07:00,Mar-Nov
ICT,KICT,Wichita Dwight D. Eisenhower National Airport,"Wichita, Kansas, United States",UTC−06:00,Mar-Nov
ICY,,Icy Bay Airport (FAA: 19AK),"Icy Bay, Alaska, United States",UTC−09:00,Mar-Nov
IDA,KIDA,Idaho Falls Regional Airport,"Idaho Falls, Idaho, United States",UTC−07:00,Mar-Nov
IDB,ESUE,Idre Airport,"Idre, Sweden",UTC+01:00,Mar-Oct
