JAA,OAJL,Jalalabad Airport,"Jalalabad, Afghanistan",UTC+04:30,
JAB,YJAB,Jabiru Airport,"Jabiru, Northern Territory, Australia",UTC+09:30,
JAC,KJAC,Jackson Hole Airport,"Jackson, Wyoming, United States",UTC−07:00,Mar-Nov
JAD,YPJT,Jandakot Airport,"Perth, Western Australia, Australia",UTC+08:00,
JAE,SPJE,Jaén Airport,"Jaén, Peru",UTC−05:00,
JAF,VCCJ,Jaffna International Airport,"Jaffna, Sri Lanka",UTC+05:30,
JAG,OPJA,PAF Base Shahbaz,"Jacobabad, Pakistan",UTC+05:00,
JAI,VIJP,Jaipur International Airport,"Jaipur, Rajasthan, India",UTC+05:30,
JAK,MTJA,Jacmel Airport,"Jacmel, Haiti",UTC−05:00,Mar-Nov
JAL,MMJA,El Lencero Airport,"Xalapa (Jalapa), Veracruz, Mexico",UTC−06:00,Apr-Oct
JAM,LBIA,Bezmer Air Base,"Yambol, Bulgaria",UTC+02:00,Mar-Oct
JAN,KJAN,Jackson–Evers International Airport,"Jackson, Mississippi, United States",UTC−06:00,Mar-Nov
JAP,MRCH,Chacarita Airport[1],"Puntarenas, Costa Rica",UTC−06:00,
JAQ,,Jacquinot Bay Airport,"Jacquinot Bay, Papua New Guinea",UTC+10:00,
JAR,OISJ,Jahrom Airport[1],"Jahrom, Iran",UTC+03:30,Mar-Sep
JAS,KJAS,Jasper County Airport (Bell Field),"Jasper, Texas, United States",UTC−06:00,Mar-Nov
JAT,,Jabot Airport,"Jabat Island, Marshall Islands",UTC+12:00,
JAU,SPJJ,Francisco Carle Airport,"Jauja, Peru",UTC−05:00,
JAV,BGJN,Ilulissat Airport,"Ilulissat, Greenland",UTC−03:00,Mar-Oct
JAX,KJAX,Jacksonville International Airport,"Jacksonville, Florida, United States",UTC−05:00,Mar-Nov
JBB,WARE,Notohadinegoro Airport,"Jember, Indonesia",UTC+07:00,
JBQ,MDJB,La Isabela International Airport (Dr. Joaquin Balaguer Int'l),"La Isabela, Dominican Republic",UTC−04:00,
JBR,KJBR,Jonesboro Municipal Airport,"Jonesboro, Arkansas, United States",UTC−06:00,Mar-Nov
JBS,SSSB,São Borja Airport,"São Borja, Rio Grande do Sul, Brazil",UTC−03:00,
JBT,,Bethel Seaplane Base (FAA: Z59),"Bethel, Alaska, United States",UTC−09:00,Mar-Nov
JCB,SSJA,Santa Terezinha Municipal Airport,"Joaçaba, Santa Catarina, Brazil",UTC−03:00,
JCI,KIXD,New Century AirCenter (FAA: IXD),"Olathe, Kansas, United States",UTC−06:00,Mar-Nov
JCK,YJLC,Julia Creek Airport,"Julia Creek, Queensland, Australia",UTC+10:00,
JCM,SNJB,Jacobina Airport,"Jacobina, Bahia, Brazil",UTC−03:00,
JCR,SBEK,Jacareacanga Airport,"Jacareacanga, Pará, Brazil",UTC−03:00,
JCT,KJCT,Kimble County Airport,"Junction, Texas, United States",UTC−06:00,Mar-Nov
JCY,,LBJ Ranch Airport (FAA: 0TE7),"Johnson City, Texas, United States",UTC−06:00,Mar-Nov
JDA,KGCD,Grant County Regional Airport (Ogilvie Field) (FAA: GCD),"John Day, Oregon, United States",UTC−08:00,Mar-Nov
JDF,SBJF,Francisco Álvares de Assis Airport,"Juiz de Fora, Minas Gerais, Brazil",UTC−03:00,
JDG,RKPD,Jeongseok Airport,"Seogwipo, South Korea",UTC+09:00,
JDH,VIJO,Jodhpur Airport,"Jodhpur, Rajasthan, India",UTC+05:30,
JDN,KJDN,Jordan Airport,"Jordan, Montana, United States",UTC−07:00,Mar-Nov
JDO,SBJU,Juazeiro do Norte Airport,"Juazeiro do Norte, Ceará, Brazil",UTC−03:00,
JDR,SNJR,Prefeito Octávio de Almeida Neves Airport[1],"São João del Rei, Minas Gerais, Brazil",UTC−03:00,
JDZ,ZSJD,Jingdezhen Luojia Airport,"Jingdezhen, Jiangxi, China",UTC+08:00,
JED,OEJN,King Abdulaziz International Airport,"Jeddah, Saudi Arabia",UTC+03:00,
JEE,MTJE,Jérémie Airport,"Jérémie, Haiti",UTC−05:00,Mar-Nov
JEF,KJEF,Jefferson City Memorial Airport,"Jefferson City, Missouri, United States",UTC−06:00,Mar-Nov
JEG,BGAA,Aasiaat Airport,"Aasiaat, Greenland",UTC−03:00,Mar-Oct
JEJ,,Jeh Airport,"Jeh Island, Ailinglaplap Atoll, Marshall Islands",UTC+12:00,
JEK,,Jeki Airstrip[1],"Jeki, Zambia",UTC+02:00,
JEQ,SNJK,Jequié Airport,"Jequié, Bahia, Brazil",UTC−03:00,
JER,EGJJ,Jersey Airport,"Jersey, Channel Islands, United Kingdom",UTC±00:00,Mar-Oct
JFK,KJFK,John F. Kennedy International Airport,"New York City, New York, United States",UTC−05:00,Mar-Nov
JFN,KHZY,Northeast Ohio Regional Airport (FAA: HZY),"Ashtabula, Ohio, United States",UTC−05:00,Mar-Nov
JFR,BGPT,Paamiut Airport,"Paamiut, Greenland",UTC−03:00,Mar-Oct
JGA,VAJM,Jamnagar Airport (Govardhanpur Airport),"Jamnagar, Gujarat, India",UTC+05:30,
JGB,,Jagdalpur Airport,"Jagdalpur, Chhattisgarh, India",UTC+05:30,
JGD,ZYJD,Jiagedaqi Airport,"Jiagedaqi, Heilongjiang, China",UTC+08:00,
JGN,ZLJQ,Jiayuguan Airport,"Jiayuguan, Gansu, China",UTC+08:00,
JGS,ZSJA,Jinggangshan Airport,"Ji'an, Jiangxi, China",UTC+08:00,
JHB,WMKJ,Senai International Airport,"Johor Bahru, Johor, Malaysia",UTC+08:00,
JHG,ZPJH,Xishuangbanna Gasa Airport,"Jinghong, Yunnan, China",UTC+08:00,
JHL,,Fort MacKay/Albian Aerodrome[1] (TC: CAL4),"Fort McKay, Alberta, Canada",UTC−07:00,Mar-Nov
JHM,PHJH,Kapalua Airport,"Kapalua, Hawaii, United States",UTC−10:00,
JHS,BGSS,Sisimiut Airport,"Sisimiut, Greenland",UTC−03:00,Mar-Oct
JHW,KJHW,Chautauqua County-Jamestown Airport,"Jamestown, New York, United States",UTC−05:00,Mar-Nov
JIA,SWJN,Juína Airport,"Juína, Mato Grosso, Brazil",UTC−04:00,
JIB,HDAM,Djibouti–Ambouli International Airport,"Djibouti, Djibouti",UTC+03:00,
JIC,ZLJC,Jinchang Jinchuan Airport,"Jinchang, Gansu, China",UTC+08:00,
JIJ,HAJJ,Wilwal International Airport,"Jijiga, Ethiopia",UTC+03:00,
JIK,LGIK,Ikaria Island National Airport,"Ikaria Island, Greece",UTC+02:00,Mar-Oct
JIL,ZYJL,Jilin Ertaizi Airport,"Jilin City, Jilin, China",UTC+08:00,
JIM,HAJM,Aba Segud Airport,"Jimma, Ethiopia",UTC+03:00,
JIN,HUJI,Jinja Airport,"Jinja, Uganda",UTC+03:00,
JIO,,Jos Orno Imsula Airport,"Tiakur, Southwest Maluku, Indonesia",UTC+07:00,
