KAA,FLKS,Kasama Airport,"Kasama, Zambia",UTC+02:00,
KAB,FVKB,Kariba Airport,"Kariba, Zimbabwe",UTC+02:00,
KAC,OSKL,Kamishly Airport,"Qamishli (Kamishly), Syria",UTC+02:00,Mar–Oct
KAD,DNKA,Kaduna Airport,"Kaduna, Nigeria",UTC+01:00,
KAE,,Kake Seaplane Base,"Kake, Alaska, United States",UTC−09:00,Mar–Nov
KAF,,Karato Airport,"Karato, Papua New Guinea",UTC+11:00,
KAG,RKNN,Gangneung Air Base,"Gangneung, South Korea",UTC+09:00,
KAI,SYKA,Kaieteur International Airport,"Kaieteur, Guyana",UTC−04:00,
KAJ,EFKI,Kajaani Airport,"Kajaani, Finland",UTC+02:00,Mar–Oct
KAK,,Kar Airport,"Kar, Papua New Guinea",UTC+10:00,
KAL,PAKV,Kaltag Airport,"Kaltag, Alaska, United States",UTC−09:00,Mar–Nov
KAM,ODKM,Kamaran Airport,"Kamaran, Yemen",UTC+03:00,
KAN,DNKN,Mallam Aminu Kano International Airport,"Kano, Nigeria",UTC+01:00,
KAO,EFKS,Kuusamo Airport,"Kuusamo, Finland",UTC+02:00,Mar–Oct
KAP,FZSK,Kapanga Airport,"Kapanga, Democratic Republic of the Congo",UTC+02:00,
KAQ,AYKH,Kamulai Airport[1],"Kamulai, Papua New Guinea",UTC+10:00,
KAR,SYKM,Kamarang Airport,"Kamarang, Guyana",UTC−04:00,
KAS,FYKB,Karasburg Airport,"Karasburg, Namibia",UTC+01:00,Sep–Apr
KAT,NZKT,Kaitaia Airport,"Kaitaia, New Zealand",UTC+12:00,Sep–Apr
KAU,EFKA,Kauhava Airfield,"Kauhava, Finland",UTC+02:00,Mar–Oct
KAV,SVKA,Kavanayén Airport,"Kavanayén, Venezuela",UTC−04:00,
KAW,VYKT,Kawthaung Airport,"Kawthaung, Myanmar",UTC+06:30,
KAX,YKBR,Kalbarri Airport,"Kalbarri, Western Australia, Australia",UTC+08:00,
KAY,NFNW,Wakaya Airport,"Wakaya Island, Fiji",UTC+12:00,Nov–Jan
KAZ,WAMK,Kuabang Airport,"Kao, Indonesia",UTC+09:00,
KBA,GFKB,Kabala Airport,"Kabala, Sierra Leone",UTC±00:00,
KBB,,Kirkimbie Airport[1],"Kirkimbie Station, Northern Territory, Australia",UTC+09:30,
KBC,,Birch Creek Airport (FAA: Z91),"Birch Creek, Alaska, United States",UTC−09:00,Mar–Nov
KBD,,Kimberley Downs Airport,"Kimberley Downs, Western Australia, Australia",UTC+08:00,
KBE,,Bell Island Hot Springs Seaplane Base,"Bell Island, Alaska, United States",UTC−09:00,Mar–Nov
KBF,WABK,Karubaga Airport,"Karubaga, Indonesia",UTC+09:00,
KBG,HUKF,Kabalega Falls Airport,"Kabalega Falls, Uganda",UTC+03:00,
KBI,FKKB,Kribi Airport,"Kribi, Cameroon",UTC+01:00,
KBJ,YKCA,Kings Canyon Airport,"Kings Canyon, Northern Territory, Australia",UTC+09:30,
KBL,OAKB,Kabul International Airport,"Kabul, Afghanistan",UTC+04:30,
KBM,AYKB,Kabwum Airport,"Kabwum, Papua New Guinea",UTC+10:00,
KBN,FZWT,Tunta Airport,"Kabinda, Democratic Republic of the Congo",UTC+01:00,
KBO,FZRM,Kabalo Airport,"Kabalo, Democratic Republic of the Congo",UTC+02:00,
KBP,UKBB,Boryspil International Airport,"Kyiv, Ukraine",UTC+02:00,Mar–Oct
KBQ,FWKG,Kasungu Airport,"Kasungu, Malawi",UTC+02:00,
KBR,WMKC,Sultan Ismail Petra Airport,"Kota Bharu, Kelantan, Malaysia",UTC+08:00,
KBS,GFBO,Bo Airport,"Bo, Sierra Leone",UTC±00:00,
KBT,,Kaben Airport,"Kaben, Maloelap Atoll, Marshall Islands",UTC+12:00,
KBU,WRBK,Gusti Syamsir Alam Airport (Stagen Airport),"Kotabaru, Indonesia",UTC+07:00,
KBV,VTSG,Krabi Airport,"Krabi, Thailand",UTC+07:00,
KBW,,Chignik Bay Seaplane Base (FAA: Z78),"Chignik, Alaska, United States",UTC−09:00,Mar–Nov
KBX,WASU,Kambuaya Airport,"Ayamaru, Indonesia",UTC+09:00,
KBY,YKBY,Streaky Bay Airport,"Streaky Bay, South Australia, Australia",UTC+09:30,Oct–Apr
KBZ,NZKI,Kaikoura Aerodrome,"Kaikoura, New Zealand",UTC+12:00,Sep–Apr
KCA,ZWKC,Kuqa Qiuci Airport,"Kuqa, Xinjiang, China",UTC+06:00,
KCB,SMTP,Tepoe Airstrip,"Kasikasima, Suriname",UTC−03:00,
KCC,,Coffman Cove Seaplane Base,"Coffman Cove, Alaska, United States",UTC−09:00,Mar–Nov
KCD,,Kamur Airport,"Kamur, Indonesia",UTC+09:00,
KCE,YCSV,Collinsville Airport,"Collinsville, Queensland, Australia",UTC+10:00,
KCF,,Kadanwari Airport,"Kadanwari, Pakistan",UTC+05:00,
KCG,,Chignik Fisheries Airport (closed),"Chignik, Alaska, United States",,
KCH,WBGG,Kuching International Airport,"Kuching, Sarawak, Malaysia",UTC+08:00,
KCJ,,Komaio Airport,"Komaio, Papua New Guinea",UTC+10:00,
KCK,UIKK,Kirensk Airport,"Kirensk, Irkutsk Oblast, Russia",UTC+08:00,
KCL,,Chignik Lagoon Airport (Chignik Flats Airport),"Chignik Lagoon, Alaska, United States",UTC−09:00,Mar–Nov
KCM,LTCN,Kahramanmaraş Airport,"Kahramanmaraş, Turkey",UTC+03:00,
KCN,,Chernofski Harbor Seaplane Base,"Chernofski Harbor, Alaska, United States",UTC−09:00,Mar–Nov
KCO,LTBQ,Cengiz Topel Naval Air Station,"İzmit, Turkey",UTC+03:00,
KCP,,Kamianets-Podilskyi Airport,"Kamianets-Podilskyi, Ukraine",UTC+02:00,Mar–Oct
KCQ,,Chignik Lake Airport (FAA: A79),"Chignik Lake, Alaska, United States",UTC−09:00,Mar–Nov
KCR,,Colorado Creek Airport,"Colorado Creek, Alaska, United States",UTC−09:00,Mar–Nov
KCS,YKCS,Kings Creek Station Airport,"Kings Creek Station, Northern Territory, Australia",UTC+09:30,
KCT,VCCK,Koggala Airport,"Koggala, Sri Lanka",UTC+05:30,
KCU,HUMI,Masindi Airport,"Masindi, Uganda",UTC+03:00,
KCZ,RJOK,Kōchi Ryōma Airport,"Kōchi, Shikoku, Japan",UTC+09:00,
KDA,GOGK,Kolda North Airport,"Kolda, Senegal",UTC±00:00,
KDB,YKBL,Kambalda Airport,"Kambalda, Western Australia, Australia",UTC+08:00,
KDC,DBBK,Kandi Airport,"Kandi, Benin",UTC+01:00,
KDD,OPKH,Khuzdar Airport,"Khuzdar, Pakistan",UTC+05:00,
KDE,AYOW,Koroba Airport,"Koroba, Papua New Guinea",UTC+10:00,
KDH,OAKN,Kandahar International Airport,"Kandahar, Afghanistan",UTC+04:30,
