LAA,KLAA,Lamar Municipal Airport,"Lamar, Colorado, United States",UTC−07:00,Mar-Nov
LAB,,Lab Lab Airport,"Lab Lab, Papua New Guinea",UTC+10:00,
LAC,,Layang-Layang Airport (Swallow Reef Airport),"Layang-Layang Island, Sabah, Malaysia",UTC+08:00,
LAD,FNLU,Quatro de Fevereiro Airport,"Luanda, Angola",UTC+01:00,
LAE,AYNZ,Lae Nadzab Airport,"Lae, Papua New Guinea",UTC+10:00,
LAF,KLAF,Purdue University Airport,"Lafayette, Indiana, United States",UTC−05:00,Mar-Nov
LAH,WAPH[1],Oesman Sadik Airport,"Labuha, Indonesia",UTC+09:00,
LAI,LFRO,Lannion – Côte de Granit Airport,"Lannion, Brittany, France",UTC+01:00,Mar-Oct
LAJ,SBLJ,Antônio Correia Pinto de Macedo Airport,"Lages, Santa Catarina, Brazil",UTC−03:00,
LAK,CYKD,Aklavik/Freddie Carmichael Airport,"Aklavik, Northwest Territories, Canada",UTC−07:00,Mar-Nov
LAL,KLAL,Lakeland Linder International Airport,"Lakeland, Florida, United States",UTC−05:00,Mar-Nov
LAM,KLAM,Los Alamos County Airport,"Los Alamos, New Mexico, United States",UTC−07:00,Mar-Nov
LAN,KLAN,Capital Region International Airport,"Lansing, Michigan, United States",UTC−05:00,Mar-Nov
LAO,RPLI,Laoag International Airport,"Laoag, Philippines",UTC+08:00,
LAP,MMLP,Manuel Márquez de León International Airport,"La Paz, Baja California Sur, Mexico",UTC−07:00,Apr-Oct
LAQ,HLLQ,Al Abraq International Airport,"Bayda, Libya",UTC+02:00,
LAR,KLAR,Laramie Regional Airport,"Laramie, Wyoming, United States",UTC−07:00,Mar-Nov
LAS,KLAS,Harry Reid International Airport,"Las Vegas, Nevada, United States",UTC−08:00,Mar-Nov
LAU,HKLU,Manda Airport,"Lamu, Kenya",UTC+03:00,
LAW,KLAW,Lawton–Fort Sill Regional Airport,"Lawton, Oklahoma, United States",UTC−06:00,Mar-Nov
LAX,KLAX,Los Angeles International Airport,"Los Angeles, California, United States",UTC−08:00,Mar-Nov
LAY,FALY,Ladysmith Airport,"Ladysmith, South Africa",UTC+02:00,
LAZ,SBLP,Bom Jesus da Lapa Airport,"Bom Jesus da Lapa, Bahia, Brazil",UTC−03:00,
LBA,EGNM,Leeds Bradford Airport,"Leeds / Bradford, England, United Kingdom",UTC±00:00,Mar-Oct
LBB,KLBB,Lubbock Preston Smith International Airport,"Lubbock, Texas, United States",UTC−06:00,Mar-Nov
LBC,EDHL,Lübeck Airport,"Lübeck, Schleswig-Holstein, Germany",UTC+01:00,Mar-Oct
LBD,UTDL,Khujand Airport,"Khujand, Tajikistan",UTC+05:00,
LBE,KLBE,Arnold Palmer Regional Airport,"Latrobe, Pennsylvania, United States",UTC−05:00,Mar-Nov
LBF,KLBF,North Platte Regional Airport (Lee Bird Field),"North Platte, Nebraska, United States",UTC−06:00,Mar-Nov
LBG,LFPB,Paris–Le Bourget Airport,"Paris, Île-de-France, France",UTC+01:00,Mar-Oct
LBH,,Palm Beach Water Airport,"Palm Beach, New South Wales, Australia",UTC+10:00,Oct-Apr
LBI,LFCI,Le Sequestre Airport,"Albi, Midi-Pyrénées, France",UTC+01:00,Mar-Oct
LBJ,WATO,Komodo Airport,"Labuan Bajo, Indonesia",UTC+08:00,
LBK,,Liboi Airport,"Liboi, Kenya",UTC+03:00,
LBL,KLBL,Liberal Mid-America Regional Airport,"Liberal, Kansas, United States",UTC−06:00,Mar-Nov
LBM,,Luabo Airport,"Luabo, Mozambique",UTC+02:00,
LBN,,Lake Baringo Airport,"Lake Baringo, Kenya",UTC+03:00,
LBO,FZVI,Lusambo Airport,"Lusambo, Democratic Republic of the Congo",UTC+02:00,
LBP,,Long Banga Airport,"Long Banga, Sarawak, Malaysia",UTC+08:00,
LBQ,FOGR,Lambaréné Airport,"Lambaréné, Gabon",UTC+01:00,
LBR,SWLB,Lábrea Airport,"Lábrea, Amazonas, Brazil",UTC−04:00,
LBS,NFNL,Labasa Airport,"Labasa, Fiji",UTC+12:00,Nov-Jan
LBT,KLBT,Lumberton Municipal Airport,"Lumberton, North Carolina, United States",UTC−05:00,Mar-Nov
LBU,WBKL,Labuan Airport,"Labuan, Malaysia",UTC+08:00,
LBV,FOOL,Libreville International Airport,"Libreville, Gabon",UTC+01:00,
LBW,WRLB,Juvai Semaring Airport (Long Bawan Airport),"Long Bawan, Indonesia",UTC+08:00,
LBX,RPLU,Lubang Airport,"Lubang, Philippines",UTC+08:00,
LBY,LFRE,La Baule-Escoublac Airport,"La Baule-Escoublac, Pays de la Loire, France",UTC+01:00,Mar-Oct
LBZ,FNLK,Lucapa Airport,"Lucapa, Angola",UTC+01:00,
LCA,LCLK,Larnaca International Airport,"Larnaca, Cyprus",UTC+02:00,Mar-Oct
LCB,,Pontes e Lacerda Airport,"Pontes e Lacerda, Mato Grosso, Brazil",UTC−04:00,
LCC,LIBN,Galatina Air Base,"Lecce, Apulia, Italy",UTC+01:00,Mar-Oct
LCD,FALO,Louis Trichardt Airport,"Louis Trichardt, South Africa",UTC+02:00,
LCE,MHLC,Golosón International Airport,"La Ceiba, Honduras",UTC−06:00,
LCF,MGRD,Río Dulce Airport (Las Vegas Airport),"Río Dulce, Guatemala",UTC−06:00,
LCG,LECO,A Coruña Airport,"A Coruña, Galicia, Spain",UTC+01:00,Mar-Oct
LCH,KLCH,Lake Charles Regional Airport,"Lake Charles, Louisiana, United States",UTC−06:00,Mar-Nov
LCI,KLCI,Laconia Municipal Airport,"Laconia, New Hampshire, United States",UTC−05:00,Mar-Nov
LCJ,EPLL,Łódź Władysław Reymont Airport,"Łódź, Poland",UTC+01:00,Mar-Oct
LCK,KLCK,Rickenbacker International Airport,"Columbus, Ohio, United States",UTC−05:00,Mar-Nov
