MAA,VOMM,Chennai International Airport,"Chennai, Tamil Nadu, India",UTC+05:30,
MAB,SBMA,João Correa da Rocha Airport,"Marabá, Pará, Brazil",UTC−03:00,
MAC,KMAC,Macon Downtown Airport,"Macon, Georgia, United States",UTC−05:00,Mar-Nov
MAD,LEMD,Adolfo Suárez Madrid–Barajas Airport,"Madrid, Spain",UTC+01:00,Mar-Oct
MAE,KMAE,Madera Municipal Airport,"Madera, California, United States",UTC−08:00,Mar-Nov
MAF,KMAF,Midland International Air and Space Port,"Midland, Texas, United States",UTC−06:00,Mar-Nov
MAG,AYMD,Madang Airport,"Madang, Papua New Guinea",UTC+10:00,
MAH,LEMH,Menorca Airport (Mahón Airport),"Menorca, Balearic Islands, Spain",UTC+01:00,Mar-Oct
MAI,FWMG,Mangochi Airport,"Mangochi, Malawi",UTC+02:00,
MAJ,PKMJ,Marshall Islands International Airport (Amata Kabua Int'l),"Majuro, Marshall Islands",UTC+12:00,
MAK,HSSM,Malakal Airport,"Malakal, South Sudan",UTC+03:00,
MAL,WAPE,Mangole Airport,"Mangole Island, Indonesia",UTC+09:00,
MAM,MMMA,General Servando Canales International Airport,"Matamoros, Tamaulipas, Mexico",UTC−06:00,Mar-Nov
MAN,EGCC,Manchester Airport,"Manchester, England, United Kingdom",UTC±00:00,Mar-Oct
MAO,SBEG,Eduardo Gomes International Airport,"Manaus, Amazonas, Brazil",UTC−04:00,
MAP,,Mamai Airport,"Mamai, Papua New Guinea",UTC+10:00,
MAQ,VTPM,Mae Sot Airport,"Mae Sot, Thailand",UTC+07:00,
MAR,SVMC,La Chinita International Airport,"Maracaibo, Venezuela",UTC−04:00,
MAS,AYMO,Momote Airport,"Manus Island, Papua New Guinea",UTC+10:00,
MAT,FZAM,Matadi Tshimpi Airport,"Matadi, Democratic Republic of the Congo",UTC+01:00,
MAU,NTTP,Maupiti Airport,"Maupiti, Leeward Islands, French Polynesia",UTC−10:00,
MAV,,Maloelap Airport (FAA: 3N1),"Taroa Island, Maloelap Atoll, Marshall Islands",UTC+12:00,
MAW,KMAW,Malden Regional Airport,"Malden, Missouri, United States",UTC−06:00,Mar-Nov
MAX,GOSM,Ouro Sogui Airport,"Matam, Senegal",UTC±00:00,
MAY,MYAB,Clarence A. Bain Airport,"Mangrove Cay, Andros Island, Bahamas",UTC−05:00,Mar-Nov
MAZ,TJMZ,Eugenio María de Hostos Airport,"Mayagüez, Puerto Rico, United States",UTC−04:00,
MBA,HKMO,Moi International Airport,"Mombasa, Kenya",UTC+03:00,
MBB,YMBL,Marble Bar Airport,"Marble Bar, Western Australia, Australia",UTC+08:00,
MBC,FOGG,Mbigou Airport,"Mbigou, Gabon",UTC+01:00,
MBD,FAMM,Mahikeng Airport (Mmabatho Airport),"Mmabatho, South Africa",UTC+02:00,
MBE,RJEB,Monbetsu Airport,"Monbetsu, Hokkaido, Hokkaido, Japan",UTC+09:00,
MBF,YPOK,Porepunkah Airfield,"Mount Buffalo, Victoria, Australia",UTC+10:00,Oct-Apr
MBG,KMBG,Mobridge Municipal Airport,"Mobridge, South Dakota, United States",UTC−06:00,Mar-Nov
MBH,YMYB,Maryborough Airport,"Maryborough, Queensland, Australia",UTC+10:00,
MBI,HTMB,Mbeya Airport,"Mbeya, Tanzania",UTC+03:00,
MBJ,MKJS,Sangster International Airport,"Montego Bay, Jamaica",UTC−05:00,
MBK,SWXM,Orlando Villas-Bôas Regional Airport,"Matupá, Mato Grosso, Brazil",UTC−04:00,
MBL,KMBL,Manistee County Blacker Airport,"Manistee, Michigan, United States",UTC−05:00,Mar-Nov
MBM,,Mkambati Airport[1],"Mkambati, South Africa",UTC+02:00,
MBN,,Mount Barnett Airport,"Mount Barnett, Western Australia, Australia",UTC+08:00,
MBO,RPUM,Mamburao Airport,"Mamburao, Philippines",UTC+08:00,
MBP,SPBB,Moyobamba Airport,"Moyobamba, Peru",UTC−05:00,
MBQ,HUMA,Mbarara Airport,"Mbarara, Uganda",UTC+03:00,
MBR,GQNU,M'Bout Airport,"M'Bout, Mauritania",UTC±00:00,
MBS,KMBS,MBS International Airport,"Saginaw / Midland / Bay City, Michigan, United States",UTC−05:00,Mar-Nov
MBT,RPVJ,Moises R. Espinosa Airport (Masbate Airport),"Masbate, Philippines",UTC+08:00,
MBU,AGGI,Mbambanakira Airport,"Mbambanakira, Solomon Islands",UTC+11:00,
MBV,,Masa Airport,"Masa, Papua New Guinea",UTC+10:00,
MBW,YMMB,Moorabbin Airport,"Melbourne, Victoria, Australia",UTC+10:00,Oct-Apr
MBX,LJMB,Maribor Edvard Rusjan Airport,"Maribor, Slovenia",UTC+01:00,Mar-Oct
MBY,KMBY,Omar N. Bradley Airport,"Moberly, Missouri, United States",UTC−06:00,Mar-Nov
MBZ,SWMW,Maués Airport,"Maués, Amazonas, Brazil",UTC−04:00,
MCA,GUMA,Macenta Airport,"Macenta, Guinea",UTC±00:00,
MCB,KMCB,McComb–Pike County Airport (John E. Lewis Field),"McComb, Mississippi, United States",UTC−06:00,Mar-Nov
