NAA,YNBR,Narrabri Airport[1],"Narrabri, New South Wales, Australia",
NAC,YNRC,Naracoorte Airport[1],"Naracoorte, South Australia, Australia",
NAD,,Macanal Airport[1],"Macanal, Colombia",
NAE,DBBN,Boundétingou Airport,"Natitingou, Benin",
NAF,,Banaina Airport[1],"Banaina, Indonesia",
NAG,VANP,Dr. Babasaheb Ambedkar International Airport,"Nagpur, Maharashtra, India",
NAH,WAMH,Naha Airport,"Tahuna, Indonesia",
NAI,SYAN,Annai Airport,"Annai, Guyana",
NAJ,UBBN,Nakhchivan International Airport,"Nakhchivan, Azerbaijan",
NAK,VTUQ,Nakhon Ratchasima Airport,"Nakhon Ratchasima, Thailand",
NAL,URMN,Nalchik Airport,"Nalchik, Kabardino-Balkaria, Russia",
NAM,WAPR,Namlea Airport[1],"Namlea, Indonesia",
NAN,NFFN,Nadi International Airport,"Nadi, Fiji",
NAO,ZUNC,Nanchong Gaoping Airport,"Nanchong, Sichuan, China",
NAP,LIRN,Naples International Airport,"Naples, Campania, Italy",
NAQ,BGQQ,Qaanaaq Airport[1],"Qaanaaq, Greenland",UTC-04:00
NAR,SKPN,Puerto Nare Airport[1],"Puerto Nare, Colombia",
NAS,MYNN,Lynden Pindling International Airport,"Nassau, New Providence, Bahamas",
NAT,SBNT,São Gonçalo do Amarante–Governador Aluízio Alves International Airport,"Natal, Rio Grande do Norte, Brazil",
NAU,NTGN,Napuka Airport[1],"Napuka, Tuamotus, French Polynesia",
NAV,LTAZ,Nevşehir Kapadokya Airport,"Nevşehir, Turkey",
NAW,VTSC,Narathiwat Airport[1],"Narathiwat, Thailand",
NAY,ZBNY,Beijing Nanyuan Airport,"Beijing, China",
NAZ,AGNA,Nana Airport[1],"Star Harbour, Solomon Islands",
NBA,,Nambaiyufa Airport[1],"Nambaiyufa, Papua New Guinea",
NBB,SKBM,Barranco Minas Airport[1],"Barranco Minas, Colombia",
NBC,UWKE,Begishevo Airport,"Nizhnekamsk / Naberezhnye Chelny, Tatarstan, Russia",
NBE,DTNH,Enfidha-Hammamet International Airport,"Enfidha, Tunisia",
NBG,KNBG,NAS JRB New Orleans (Alvin Callender Field),"New Orleans, Louisiana, United States",
NBH,YNHS,Nambucca Heads Airport[1],"Nambucca Heads, New South Wales, Australia",
NBL,MPWN,Wannukandi Airport[1],"San Blas, Panama",
NBN,FGAB,Annobón Airport,"Annobón, Equatorial Guinea",
NBO,HKJK,Jomo Kenyatta International Airport,"Nairobi, Kenya",
NBS,ZYBS,Changbaishan Airport,"Baishan, Jilin, China",
NBW,KNBW,Leeward Point Field,"Guantánamo Bay, Cuba",
NBX,WABI,Nabire Airport,"Nabire, Indonesia",
NCA,MBNC,North Caicos Airport,"North Caicos, British Overseas Territory
of Turks and Caicos Islands",
NCE,LFMN,Nice Côte d'Azur Airport,"Nice, Provence-Alpes-Côte d'Azur, France",
NCG,MMCG,Nuevo Casas Grandes Municipal Airport,"Nuevo Casas Grandes, Chihuahua, Mexico",
NCH,HTNA,Nachingwea Airport[1],"Nachingwea, Tanzania",
NCI,SKNC,Antioquia Airport[1],"Necoclí, Colombia",
NCJ,SAFS,Sunchales Aeroclub Airport[1],"Sunchales, Santa Fe, Argentina",
NCL,EGNT,Newcastle Airport,"Newcastle upon Tyne, England, United Kingdom",
NCN,PFCB,Chenega Bay Airport (FAA: C05),"Chenega, Alaska, United States",
NCO,KOQU,Quonset State Airport[1] (FAA: OQU),"North Kingstown, Rhode Island, United States",
NCR,MNSC,San Carlos Airport[1],"San Carlos, Nicaragua",
NCS,FANC,Newcastle Airport[1],"Newcastle, South Africa",
NCT,MRNC,Nicoya Guanacaste Airport[1],"Nicoya, Costa Rica",
NCU,UTNN,Nukus Airport,"Nukus, Uzbekistan",
NCY,LFLP,Annecy – Haute-Savoie – Mont Blanc Airport,"Annecy, Rhône-Alpes, France",
NDA,WAPC,Bandanaira Airport[1],"Banda Islands, Indonesia",
NDB,GQPP,Nouadhibou International Airport,"Nouadhibou, Mauritania",
NDC,VAND,Shri Guru Gobind Singh Ji Airport,"Nanded, Maharashtra, India",
NDD,FNSU,Sumbe Airport[1],"Sumbe, Angola",
NDE,HKMA,Mandera Airport[1],"Mandera, Kenya",
NDF,,N'dalatando Airport[1],"N'dalatando, Angola",
NDG,ZYQQ,Qiqihar Sanjiazi Airport[1],"Qiqihar, Heilongjiang, China",
NDI,,Namudi Airport[1],"Namudi, Papua New Guinea",
NDJ,FTTJ,N'Djamena International Airport,"N'Djamena, Chad",
NDK,,Namorik Airport (Namdrik Airport) (FAA: 3N0),"Namdrik Atoll, Marshall Islands",
NDL,FEFN,N'Délé Airport[1],"N'Délé (Ndele), Central African Republic",
NDM,HAMN,Mendi Airport,"Mendi, Ethiopia",
NDN,,Nadunumu Airport[1],"Nadunumu, Papua New Guinea",
NDP,,Naval Air Station Ellyson Field[2] (now retired),"Pensacola, Florida, United States",
NDR,GMMW,Nador International Airport,"Nador, Morocco",
NDS,YSAN,Sandstone Airport[1],"Sandstone, Western Australia, Australia",
NDU,FYRU,Rundu Airport,"Rundu, Namibia",
NDY,EGES,Sanday Airport,"Sanday, Scotland, United Kingdom",
NEC,SAZO,Necochea Airport,"Necochea, Buenos Aires, Argentina",
NEF,UWUF,Neftekamsk Airport,"Neftekamsk, Bashkortostan, Russia",
NEG,MKNG,Negril Aerodrome,"Negril, Jamaica",
NEJ,HANJ,Nejjo Airport[1],"Nejo, Ethiopia",
NEK,HANK,Nekemte Airport[1],"Nekemte, Ethiopia",
NEL,KNEL,NAES Lakehurst (Maxfield Field),"Lakehurst, New Jersey, United States",
NEN,KNEN,NOLF Whitehouse,"Jacksonville, Florida, United States",
NER,UELL,Chulman Neryungri Airport,"Neryungri, Yakutia, Russia",
NEU,VLSN,Nathong Airport[1],"Xam Neua, Laos",
NEV,TKPN,Vance W. Amory International Airport,"Nevis, Saint Kitts and Nevis",
NEW,KNEW,Lakefront Airport,"New Orleans, Louisiana, United States",
NFG,USRN,Nefteyugansk Airport,"Nefteyugansk, Khanty-Mansi Autonomous Okrug, Russia",
NFL,KNFL,NAS Fallon (Van Voorhis Field),"Fallon, Nevada, United States",
NFO,NFTO,Niuafo'ou Airport,"Niuafo'ou, Tonga",
NFR,HLNR,Nafoora Airport,"Nafoora, Libya",
NGA,YYNG,Young Airport[1],"Young, New South Wales, Australia",
NGB,ZSNB,Ningbo Lishe International Airport,"Ningbo, Zhejiang, China",
NGD,TUPA,Auguste George Airport,"Anegada, British Overseas Territory of Virgin Islands",
NGE,FKKN,Ngaoundéré Airport[1],"Ngaoundéré, Cameroon",
NGF,PHNG,MCAS Kaneohe Bay[1],"Kaneohe, Hawaii, United States",
NGI,NFNG,Gau Airport[1],"Gau Island, Fiji",
NGK,UHSN,Nogliki Airport[1],"Nogliki, Sakhalin Oblast, Russia",
NGL,FANG,Ngala Airfield[1],"Ngala, South Africa",
NGN,,Narganá Airport[1],"Narganá, Panama",
NGO,RJGG,Chūbu Centrair International Airport,"Nagoya, Honshu, Japan",
NGP,KNGP,NAS Corpus Christi (Truax Field),"Corpus Christi, Texas, United States",
NGQ,ZUAL,Ngari Gunsa Airport,"Shiquanhe, Tibet Autonomous Region, China",
NGR,,Ningerum Airport[1],"Ningerum, Papua New Guinea",
NGS,RJFU,Nagasaki Airport,"Nagasaki, Kyushu, Japan",
NGU,KNGU,NS Norfolk (Chambers Field),"Norfolk, Virginia, United States",
NGW,KNGW,NOLF Cabaniss Field,"Corpus Christi, Texas, United States",
NGX,VNMA,Manang Airport[1],"Manang, Nepal",
NHA,VVNT,Nha Trang Air Base[1],"Nha Trang, Vietnam",
NHD,OMDM,Al Minhad Air Base[1],"Dubai, United Arab Emirates",
NHF,HSNW,New Halfa Airport[1],"New Halfa, Sudan",
NHK,KNHK,NAS Patuxent River (Trapnell Field),"Patuxent River, Maryland, United States",
NHS,,Nushki Airport[1],"Nushki, Pakistan",
NHT,EGWU,RAF Northolt,"Northolt, England, United Kingdom",
NHV,NTMD,Nuku Hiva Airport[1],"Nuku Hiva, Marquesas Islands, French Polynesia",
NHX,KNBJ,NOLF Barin (FAA: NBJ),"Foley, Alabama, United States",
NHZ,KBXM,Brunswick Executive Airport,"Brunswick, Maine, United States",
NIA,GLNA,Nimba Airport,"Nimba, Liberia",
NIB,PAFS,Nikolai Airport (FAA: FSP),"Nikolai, Alaska, United States",
NIC,LCNC,Nicosia International Airport1,"Nicosia, Cyprus",
NIF,YCNF,Nifty Airport[1],"Nifty Copper Mine, Telfer, Western Australia, Australia",
NIG,NGNU,Nikunau Airport[1],"Nikunau, Kiribati",
NIK,,Niokolo-Koba Airport[1],"Niokolo-Koba, Senegal",
NIM,DRRN,Diori Hamani International Airport,"Niamey, Niger",
NIN,,Ninilchik Airport,"Ninilchik, Alaska, United States",
NIO,FZBI,Nioki Airport,"Nioki, Democratic Republic of the Congo",
NIP,KNIP,NAS Jacksonville (Towers Field),"Jacksonville, Florida, United States",
NIR,,Chase Field Industrial Complex[1] (FAA: 1XA2),"Beeville, Texas, United States",
NIS,,Simberi Airport,"Simberi Island, Papua New Guinea",
NIT,LFBN,Niort - Souché Airport[1],"Niort, Poitou-Charentes, France",
NIU,NTKN,Niau Airport[1],"Niau, Tuamotus, French Polynesia",
NIX,GANR,Nioro Airport,"Nioro du Sahel, Mali",
NJA,RJTA,Naval Air Facility Atsugi[1],"Atsugi, Honshu, Japan",
NJC,USNN,Nizhnevartovsk Airport,"Nizhnevartovsk, Khanty-Mansi Autonomous Okrug, Russia",
NJF,ORNI,Al Najaf International Airport,"Al Najaf, Iraq",
NJK,KNJK,NAF El Centro,"El Centro, California, United States",
NKA,,Nkan Airport[1],"Ntoum (Nkan), Gabon",
NKB,,Noonkanbah Airport[1],"Noonkanbah Station, Western Australia, Australia",
NKC,GQNO,Nouakchott–Oumtounsy International Airport,"Nouakchott, Mauritania",
NKD,,Sinak Airport[1],"Sinak, Indonesia",
NKG,ZSNJ,Nanjing Lukou International Airport,"Nanjing, Jiangsu, China",
NKI,,Naukati Bay Seaplane Base[1] (FAA: AK62),"Naukati Bay, Alaska, United States",
NKL,FZAR,Nkolo-Fuma Airport,"Kolo Fuma, Democratic Republic of the Congo",
NKM,RJNA,Nagoya Airfield (Komaki Airport),"Nagoya, Honshu, Japan",
NKN,,Nankina Airport[1],"Nankina, Papua New Guinea",
NKO,,Ankokoambo Airport[1],"Ankokoambo, Madagascar",
NKP,,Nukutepipi Airport[1],"Nukutepipi, Tuamotus, French Polynesia",
NKS,FKAN,Nkongsamba Airport,"Nkongsamba, Cameroon",
NKT,LTCV,Şırnak Airport,"Şırnak / Cizre, Turkey",
NKU,FXNK,Nkaus Airport[1],"Nkau, Lesotho",
NKX,KNKX,MCAS Miramar,"San Diego, California, United States",
NKY,FCBY,Yokangassi Airport,"Nkayi (N'kayi), Republic of the Congo",
NLA,FLND,Simon Mwansa Kapwepwe International Airport,"Ndola, Zambia",
NLC,KNLC,NAS Lemoore (Reeves Field),"Lemoore, California, United States",
NLD,MMNL,Quetzalcóatl International Airport,"Nuevo Laredo, Tamaulipas, Mexico",
NLE,,Jerry Tyler Memorial Airport (FAA: 3TR),"Niles, Michigan, United States",
NLF,YDNI,Darnley Island Airport[1],"Darnley Island, Queensland, Australia",
NLG,PAOU,Nelson Lagoon Airport (FAA: OUL),"Nelson Lagoon, Alaska, United States",
NLH,,Ninglang Luguhu Airport[1],"Ninglang, Yunnan, China",
NLI,UHNN,Nikolayevsk-on-Amur Airport,"Nikolayevsk-on-Amur, Khabarovsk Krai, Russia",
NLK,YSNF,Norfolk Island Airport,"Norfolk Island, Australia",
NLL,YNUL,Nullagine Airport[1],"Nullagine, Western Australia, Australia",
NLN,,Kneeland Airport[1] (FAA: O19),"Arcata / Eureka, California, United States",
NLO,FZAB,N'Dolo Airport[1],"Kinshasa, Democratic Republic of the Congo",
NLP,FANS,Nelspruit Airport[1],"Mbombela, South Africa",
NLS,,Nicholson Airport[1],"Nicholson, Western Australia, Australia",
NLT,ZWNL,Xinyuan Nalati Airport,"Xinyuan, Xinjiang, China",
NLU,MMSM,Santa Lucía Air Force Base Num 1,"Zumpango, State of Mexico, Mexico",
NLV,UKON,Mykolaiv International Airport,"Mykolaiv, Ukraine",
NMA,UTFN,Namangan Airport[1],"Namangan, Uzbekistan",
NMB,VADN,Daman Airport,"Daman, Daman and Diu, India",
NMC,MYEN,Norman's Cay Airport[1],"Norman's Cay, Exuma Islands, Bahamas",
NME,PAGT,Nightmute Airport (FAA: IGT),"Nightmute, Alaska, United States",
NMF,VRDA,Maafaru International Airport[1],"Maafaru, Noonu, Maldives",
NMG,,San Miguel Airport[1],"San Miguel, Panama",
NML,,Fort McMurray/Mildred Lake Airport[1] (TC: CAJ3),"Fort McMurray, Alberta, Canada",
NMN,,Nomane Airport[1],"Nomane, Papua New Guinea",
NMP,,New Moon Airport[1],"New Moon, Queensland, Australia",
NMR,YNAP,Nappa Merrie Airport[1],"Nappa Merrie, Queensland, Australia",
NMS,VYNS,Nansang Airport[1],"Nansang (Namsang), Myanmar",
NMT,VYNT,Namtu Airport[1],"Namtu, Myanmar",
NNA,GMMY,Kenitra Air Base,"Kenitra, Morocco",
NNB,AGGT,Santa Ana Airport[1],"Santa Ana Island (Owaraha), Solomon Islands",
NND,,Nangade Airport[1],"Nangade, Mozambique",
NNG,ZGNN,Nanning Wuxu International Airport,"Nanning, Guangxi, China",
NNI,FYNA,Namutoni Airport[1],"Namutoni, Namibia",
NNK,,Naknek Airport (FAA: 5NK),"Naknek, Alaska, United States",
NNL,PANO,Nondalton Airport (FAA: 5NN),"Nondalton, Alaska, United States",
NNM,ULAM,Naryan-Mar Airport,"Naryan-Mar, Nenets Autonomous Okrug, Russia",
NNR,EICA,Connemara Airport,"Spiddal, Ireland",
NNT,VTCN,Nan Nakhon Airport[1],"Nan, Thailand",
NNU,SNNU,Nanuque Airport[1],"Nanuque, Minas Gerais, Brazil",
NNX,WRLF,Nunukan Airport,"Nunukan, Indonesia",
NNY,ZHNY,Nanyang Jiangying Airport,"Nanyang, Henan, China",
NOA,YSNW,NAS Nowra[1],"Nowra, New South Wales, Australia",
NOB,MRNS,Nosara Airport,"Nosara, Costa Rica",
NOC,EIKN,Ireland West Airport Knock,"Knock, Ireland",
NOD,EDWS,Norddeich Airport,"Norden, Lower Saxony, Germany",
NOG,MMNG,Nogales International Airport,"Nogales, Sonora, Mexico",
NOI,,Novorossiysk Airport[1],"Novorossiysk, Krasnodar Krai, Russia",
NOJ,USRO,Noyabrsk Airport,"Noyabrsk, Yamalo-Nenets Autonomous Okrug, Russia",
NOK,SWXV,Nova Xavantina Airport[1],"Nova Xavantina, Mato Grosso, Brazil",
NOM,ATNR,Nomad River Airport[1],"Nomad River, Papua New Guinea",
NON,NGTO,Nonouti Airport[1],"Nonouti, Kiribati",
NOO,,Naoro Airport[1],"Naoro, Papua New Guinea",
NOP,LTCM,Sinop Airport,"Sinop, Turkey",
NOR,BINF,Norðfjörður Airport[1],"Nordfjordur, Iceland",
NOS,FMNN,Fascene Airport[1],"Nosy Be, Madagascar",
NOT,KDVO,Marin County Airport (Gnoss Field) (FAA: DVO),"Novato, California, United States",
NOU,NWWW,La Tontouta International Airport,"Nouméa, New Caledonia",
NOV,FNHU,Albano Machado Airport,"Huambo, Angola",
NOZ,UNWW,Spichenkovo Airport,"Novokuznetsk, Kemerovo Oblast, Russia",
NPA,KNPA,NAS Pensacola (Forrest Sherman Field),"Pensacola, Florida, United States",
NPE,NZNR,Hawke's Bay Airport,"Napier / Hastings, New Zealand",
NPG,,Nipa Airport[1],"Nipa, Papua New Guinea",
NPH,,Nephi Municipal Airport (FAA: U14),"Nephi, Utah, United States",
NPL,NZNP,New Plymouth Airport,"New Plymouth, New Zealand",
NPO,WIOG,Nanga Pinoh Airport[1],"Nanga Pinoh, Indonesia",
NPP,,Napperby Airport[1],"Napperby Station, Northern Territory, Australia",
NPR,SJNP,Novo Progresso Airport[1],"Novo Progresso, Pará, Brazil",
NPT,KUUU,Newport State Airport (FAA: UUU),"Newport, Rhode Island, United States",
NPU,,San Pedro de Urabá Airport[1],"San Pedro de Urabá, Colombia",
NPY,HTMP,Mpanda Airport,"Mpanda, Katavi Region, Tanzania",
NQA,KNQA,Millington Regional Jetport,"Millington, Tennessee, United States",
NQI,KNQI,NAS Kingsville,"Kingsville, Texas, United States",
NQL,SWNQ,Niquelândia Airport[1],"Niquelândia, Goiás, Brazil",
NQN,SAZN,Presidente Perón International Airport,"Neuquén, Neuquén, Argentina",
NQT,EGBN,Nottingham Airport[1],"Nottingham, England, United Kingdom",
NQU,SKNQ,Reyes Murillo Airport,"Nuquí, Colombia",
NQX,KNQX,NAS Key West (Boca Chica Field),"Key West, Florida, United States",
NQY,EGHQ,Newquay Airport,"Newquay, England, United Kingdom",
NQZ,UACC,"Nursultan Nazarbayev International Airport (since June 8, 2020)","Nur-Sultan, Kazakhstan",
NRA,YNAR,Narrandera Airport[1],"Narrandera, New South Wales, Australia",
NRB,KNRB,NS Mayport (Admiral David L. McDonald Field),"Mayport, Florida, United States",
NRC,KNRC,NASA Crows Landing Airport,"Crows Landing, California, United States",
NRD,EDWY,Norderney Airfield,"Norderney, Lower Saxony, Germany",
NRE,WAPG,Namrole Airport,"Namrole, Indonesia",
NRG,YNRG,Narrogin Airport,"Narrogin, Western Australia, Australia",
NRI,,Grand Lake Regional Airport[1] (FAA: 3O9),"Afton, Oklahoma, United States",
NRK,ESSP,Norrköping Airport,"Norrköping, Sweden",
NRL,EGEN,North Ronaldsay Airport[1],"North Ronaldsay, Scotland, United Kingdom",
NRM,GANK,Keibane Airport,"Nara, Mali",
NRN,EDLV,Weeze Airport (Niederrhein Airport),"Weeze, North Rhine-Westphalia, Germany",
NRR,TJRV,José Aponte de la Torre Airport[1] (FAA: RVR),"Ceiba, Puerto Rico, United States",
NRS,KNRS,NOLF Imperial Beach (Ream Field),"Imperial Beach, California, United States",
NRT,RJAA,Narita International Airport,"Tokyo, Honshu, Japan",
NRY,,Newry Airport[1],"Newry Station, Northern Territory, Australia",
NSB,,North Seaplane Base[1],"Bimini, Bahamas",
NSE,KNSE,NAS Whiting Field – North,"Milton, Florida, United States",
NSH,OINN,Noshahr Airport[1],"Nowshahr, Iran",
NSI,FKYS,Yaoundé Nsimalen International Airport,"Yaoundé, Cameroon",
NSK,UOOO,Alykel Airport,"Norilsk, Krasnoyarsk Krai, Russia",
NSL,KDVP,Slayton Municipal Airport[1] (FAA: DVP),"Slayton, Minnesota, United States",
