OAA,OASH,Forward Operating Base Shank,"Gardez, Afghanistan",,
OAG,YORG,Orange Airport[1],"Orange, New South Wales, Australia",,
OAH,OASD,Shindand Air Base,"Shindand, Afghanistan",,
OAI,OAIX,Bagram Airfield,"Bagram, Afghanistan",,
OAJ,KOAJ,Albert J. Ellis Airport,"Jacksonville, North Carolina, United States",,
OAK,KOAK,Oakland International Airport,"Oakland, California, United States",,
OAL,SSKW,Capital do Café Airport[1],"Cacoal, Rondônia, Brazil",,
OAM,NZOU,Oamaru Airport,"Oamaru, New Zealand",,
OAN,MHEA,El Arrayán Airport[1],"Olanchito, Honduras",,
OAR,KOAR,Marina Municipal Airport,"Monterey / Marina, California, United States",,
OAS,OASA,Sharana Airstrip / Forward Operating Base Sharana,"Sharana, Afghanistan",,
OAX,MMOX,Xoxocotlán International Airport,"Oaxaca de Juárez, Oaxaca, Mexico",,
OAZ,OAZI,Camp Bastion Air Base,"Girishk (Gereshk), Afghanistan",,
OBA,,Oban Airport[1],"Oban, Queensland, Australia",,
OBC,HDOB,Obock Airport,"Obock, Djibouti",,
OBD,,Obano Airport,"Obano, Indonesia",,
OBE,KOBE,Okeechobee County Airport,"Okeechobee, Florida, United States",,
OBF,EDMO,Oberpfaffenhofen Airport,"Oberpfaffenhofen, Bavaria, Germany",,
OBI,SBTI,Óbidos Airport[1],"Óbidos, Pará, Brazil",,
OBL,EBZR,Oostmalle Airfield,"Zoersel, Belgium",,
OBM,,Morobe Airport[1],"Morobe, Papua New Guinea",,
OBN,EGEO,Oban Airport[1] (North Connel Airport),"Oban, Scotland, United Kingdom",,
OBO,RJCB,Tokachi–Obihiro Airport,"Obihiro, Hokkaido, Japan",,
OBS,LFHO,Aubenas Aerodrome[1] (Ardèche Méridionale Aerodrome),"Aubenas, Rhône-Alpes, France",,
OBU,PAOB,Kobuk Airport,"Kobuk, Alaska, United States",,
OBX,AYOB,Obo Airport,"Obo, Papua New Guinea",,
OCA,,Ocean Reef Club Airport (FAA: 07FA),"Key Largo, Florida, United States",,
OCC,SECO,Francisco de Orellana Airport,"Puerto Francisco de Orellana (Coca), Ecuador",,
OCE,KOXB,Ocean City Municipal Airport,"Ocean City, Maryland, United States",,
OCF,KOCF,Ocala International Airport (Jim Taylor Field),"Ocala, Florida, United States",,
OCH,KOCH,A.L. Mangham Jr. Regional Airport,"Nacogdoches, Texas, United States",,
OCJ,MKBS,Ian Fleming International Airport,"Ocho Rios, Jamaica",,
OCM,YBGD,Boolgeeda Airport[1],"Boolgeeda, Western Australia, Australia",,
OCN,KOKB,Oceanside Municipal Airport (FAA: OKB),"Oceanside, California, United States",,
OCS,,Corisco International Airport[1],"Corisco Island, Equatorial Guinea",,
OCV,SKOC,Aguas Claras Airport[1],"Ocaña, Colombia",,
OCW,KOCW,Washington–Warren Airport (Warren Field),"Washington, North Carolina, United States",,
ODA,FEFW,Ouadda Airport[1],"Ouadda, Central African Republic",,
ODB,LEBA,Córdoba Airport,"Córdoba, Andalusia, Spain",,
ODC,,Oakdale Airport[1] (FAA: O27),"Oakdale, California, United States",,
ODD,YOOD,Oodnadatta Airport[1],"Oodnadatta, South Australia, Australia",,
ODE,EKOD,Hans Christian Andersen Airport,"Odense, Denmark",,
ODH,EGVO,RAF Odiham,"Odiham, England, United Kingdom",,
ODJ,FEGO,Ouanda Djallé Airport[1],"Ouanda Djallé, Central African Republic",,
ODL,,Cordillo Downs Airport[1],"Cordillo Downs, South Australia, Australia",,
ODM,,Garrett County Airport[1] (FAA: 2G4),"Oakland, Maryland, United States",,
ODN,WBGI,Long Seridan Airport[1],"Long Seridan, Sarawak, Malaysia",,
ODO,UIKB,Bodaybo Airport[1],"Bodaybo, Irkutsk Oblast, Russia",,
ODR,YORV,Ord River Airport[1],"Ord River, Western Australia, Australia",,
ODS,UKOO,Odesa International Airport,"Odesa, Ukraine",,
ODW,KOKH,A.J. Eisenberg Airport (FAA: OKH),"Oak Harbor, Washington, United States",,
ODY,VLOS,Oudomsay Airport,"Muang Xay (Oudomxai), Laos",,
OEC,WPOC,Oecusse Airport,"Oecussi, East Timor",,
OEL,UUOR,Oryol Yuzhny Airport,"Oryol (Orel), Oryol Oblast, Russia",,
OEM,SMPA,Vincent Fayks Airport,"Paloemeu, Suriname",,
OEO,KOEO,L.O. Simenstad Municipal Airport,"Osceola, Wisconsin, United States",,
OER,ESNO,Örnsköldsvik Airport,"Örnsköldsvik, Sweden",,
OES,SAVN,Antoine de Saint Exupéry Airport,"San Antonio Oeste, Río Negro, Argentina",,
OFF,KOFF,Offutt Air Force Base,"Omaha, Nebraska, United States",,
OFI,DIOF,Ouango Fitini Airport[1],"Ouango Fitini, Ivory Coast",,
OFJ,BIOF,Ólafsfjörður Airport[1],"Ólafsfjörður, Iceland",,
OFK,KOFK,Norfolk Regional Airport (Karl Stefan Memorial Field),"Norfolk, Nebraska, United States",,
OFU,NSAS,Ofu Airport (FAA: Z08),"Ofu Island, American Samoa",,
OGA,KOGA,Searle Field,"Ogallala, Nebraska, United States",,
OGB,KOGB,Orangeburg Municipal Airport,"Orangeburg, South Carolina, United States",,
OGD,KOGD,Ogden-Hinckley Airport,"Ogden, Utah, United States",,
OGE,,Ogeramnang Airport[1],"Ogeramnang, Papua New Guinea",,
OGG,PHOG,Kahului Airport,"Kahului, Hawaii, United States",,
OGL,SYGO,Ogle Airport,"Georgetown, Guyana",,
OGM,,Ustupu-Ogobsucum Airport[1],"Ustupo, Panama",,
OGN,ROYN,Yonaguni Airport,"Yonaguni, Yaeyama Islands, Japan",,
OGO,DIAU,Abengourou Airport[1],"Abengourou, Ivory Coast",,
OGR,FTTB,Bongor Airport,"Bongor, Chad",,
OGS,KOGS,Ogdensburg International Airport,"Ogdensburg, New York, United States",,
OGU,LTCB,Ordu–Giresun Airport,"Ordu / Giresun, Turkey",,
OGV,FYNG,Ongava Airstrip[1],"Ongava, Namibia",,
OGX,DAUU,Ain Beida Airport,"Ouargla, Algeria",,
OGZ,URMO,Beslan Airport,"Vladikavkaz, North Ossetia-Alania, Russia",,
OHA,NZOH,RNZAF Base Ohakea[1],"Bulls, New Zealand",,
OHB,,Ambohibary Airport[1],"Moramanga, Madagascar",,
OHD,LWOH,"Ohrid ""St. Paul the Apostle"" Airport","Ohrid, North Macedonia",,
OHE,ZYMH,Mohe Gulian Airport,"Mohe, Heilongjiang, China",,
OHH,UHSH,Okha Airport (Novostroyka Airport),"Okha, Sakhalin Oblast, Russia",,
OHI,FYOS,Oshakati Airport[1],"Oshakati, Namibia",,
OHO,UHOO,Okhotsk Airport,"Okhotsk, Khabarovsk Krai, Russia",,
OHR,EDXY,Wyk auf Föhr Airport[1],"Wyk auf Föhr, Schleswig-Holstein, Germany",,
OHS,OOSH,Sohar Airport[1],"Sohar, Oman",,
OHT,OPKT,PAF Base Kohat,"Kohat, Pakistan",,
OIA,SDOW,Ourilândia do Norte Airport[1],"Ourilândia do Norte, Pará, Brazil",,
OIC,KOIC,Lt. Warren Eaton Airport,"Norwich, New York, United States",,
OIM,RJTO,Oshima Airport[1],"Ōshima, Izu Islands, Japan",,
OIR,RJEO,Okushiri Airport,"Okushiri, Okushiri Island, Japan",,
OIT,RJFO,Oita Airport,"Oita, Kyushu, Japan",,
OJC,KOJC,Johnson County Executive Airport,"Olathe, Kansas, United States",,
OJU,,Tanjung Api Airport,"Ampana, Tojo Una-Una Regency, Central Sulawesi, Indonesia",,
OKA,ROAH,Naha Airport,"Okinawa, Ryukyu Islands, Japan",,
OKB,YORC,Orchid Beach Airport,"Fraser Island, Queensland, Australia",,
OKC,KOKC,Will Rogers World Airport,"Oklahoma City, Oklahoma, United States",,
OKD,RJCO,Okadama Airport[1],"Sapporo, Hokkaido, Japan",,
OKE,RJKB,Okinoerabu Airport[1],"Okinoerabujima, Amami Islands, Japan",,
OKF,FYOO,Okaukuejo Airport[1],"Okaukuejo, Namibia",,
OKG,,Okoyo Airport[1],"Okoyo, Republic of the Congo",,
OKH,EGXJ,RAF Cottesmore,"Oakham, England, United Kingdom",,
OKI,RJNO,Oki Airport[1],"Dogo, Oki Islands, Japan",,
OKJ,RJOB,Okayama Airport,"Okayama, Honshu, Japan",,
OKK,KOKK,Kokomo Municipal Airport,"Kokomo, Indiana, United States",,
OKL,WAJO,Gunung Bintang Airport,"Oksibil, Indonesia",,
OKM,KOKM,Okmulgee Regional Airport,"Okmulgee, Oklahoma, United States",,
OKN,FOGQ,Okondja Airport[1],"Okondja, Gabon",,
OKO,RJTY,Yokota Air Base[1],"Fussa, Honshu, Japan",,
OKP,AYOJ,Oksapmin Airport[1],"Oksapmin, Papua New Guinea",,
OKQ,WAKO,Okaba Airport[1],"Okaba, Indonesia",,
OKR,YYKI,Yorke Island Airport[1],"Yorke Island, Queensland, Australia",,
OKS,KOKS,Garden County Airport,"Oshkosh, Nebraska, United States",,
OKT,UWUK,Oktyabrsky Airport,"Oktyabrsky, Bashkortostan, Russia",,
OKU,FYMO,Mokuti Lodge Airport[1],"Mokuti Lodge, Namibia",,
OKV,,Okao Airport[1],"Okao, Papua New Guinea",,
OKY,YBOK,Oakey Army Aviation Centre[1],"Oakey, Queensland, Australia",,
OLA,ENOL,Ørland Airport[1],"Ørland, Norway",,
OLB,LIEO,Olbia Costa Smeralda Airport,"Olbia, Sardinia, Italy",,
OLC,SDCG,Senadora Eunice Michiles Airport[1],"São Paulo de Olivença, Amazonas, Brazil",,
OLD,KOLD,Old Town Municipal Airport and Seaplane Base (Dewitt Field),"Old Town, Maine, United States",,
OLE,KOLE,Cattaraugus County-Olean Airport,"Olean, New York, United States",,
OLF,KOLF,L. M. Clayton Airport,"Wolf Point, Montana, United States",,
OLH,,Old Harbor Airport (FAA: 6R7),"Old Harbor, Alaska, United States",,
OLI,BIRF,Rif Airport[1],"Ólafsvík, Iceland",,
OLJ,NVSZ,Olpoi Airport[1] (North West Santo Airport),"Olpoi, Vanuatu",,
OLK,SGOL,Fuerte Olimpo Airport,"Fuerte Olimpo, Paraguay",,
OLL,,Oyo Ollombo Airport,"Oyo, Republic of the Congo",,
OLM,KOLM,Olympia Regional Airport,"Olympia, Washington, United States",,
OLN,SAVM,Lago Musters Airport[1],"Sarmiento, Chubut, Argentina",,
OLO,LKOL,Olomouc Airport (Neředín Airport),"Olomouc, Czech Republic",,
OLP,YOLD,Olympic Dam Airport[1],"Olympic Dam, South Australia, Australia",,
OLQ,,Olsobip Airport[1],"Olsobip, Papua New Guinea",,
OLR,OASL,Forward Operating Base Salerno,"Khost, Afghanistan",,
OLS,KOLS,Nogales International Airport,"Nogales, Arizona, United States",,
OLU,KOLU,Columbus Municipal Airport,"Columbus, Nebraska, United States",,
