PAA,VYPA,Hpa-An Airport[1],"Hpa-An, Myanmar",,
PAB,VEBU,Bilaspur Airport,"Bilaspur, Chhattisgarh, India",,
PAC,MPMG,"Albrook ""Marcos A. Gelabert"" International Airport","Panama City, Panama",,
PAD,EDLP,Paderborn Lippstadt Airport,"Paderborn / Lippstadt, North Rhine-Westphalia, Germany",,
PAE,KPAE,Paine Field (Snohomish County Airport),"Everett, Washington, United States",,
PAF,HUPA,Pakuba Airfield,"Pakuba, Uganda",,
PAG,RPMP,Pagadian Airport,"Pagadian, Philippines",,
PAH,KPAH,Barkley Regional Airport,"Paducah, Kentucky, United States",,
PAJ,OPPC,Parachinar Airport[1],"Parachinar, Pakistan",,
PAK,PHPA,Port Allen Airport,"Hanapepe, Hawaii, United States",,
PAL,SKPQ,Captain Germán Olano Moreno Air Base[1],"Palanquero, Colombia",,
PAM,KPAM,Tyndall Air Force Base,"Panama City, Florida, United States",,
PAN,VTSK,Pattani Airport,"Pattani, Thailand",,
PAO,KPAO,Palo Alto Airport (Santa Clara County Airport),"Palo Alto, California, United States",,
PAP,MTPP,Toussaint L'Ouverture International Airport,"Port-au-Prince, Haiti",,
PAQ,PAAQ,Palmer Municipal Airport,"Palmer, Alaska, United States",,
PAR[1],,metropolitan area1,"Paris, Île-de-France, France",,
PAS,LGPA,Paros National Airport,"Paros, Greece",,
PAT,VEPT,Lok Nayak Jayaprakash Airport,"Patna, Bihar, India",,
PAU,VYPK,Pauk Airport[1],"Pauk, Myanmar",,
PAV,SBUF,Paulo Afonso Airport[1],"Paulo Afonso, Bahia, Brazil",,
PAW,,Pambwa Airport[1],"Pambwa, Papua New Guinea",,
PAX,MTPX,Port-de-Paix Airport[1],"Port-de-Paix, Haiti",,
PAY,WBKP,Pamol Airport[1],"Pamol, Sabah, Malaysia",,
PAZ,MMPA,El Tajín National Airport,"Poza Rica, Veracruz, Mexico",,
PBB,SSPN,Paranaíba Airport[1],"Paranaíba, Mato Grosso do Sul, Brazil",,
PBC,MMPB,Hermanos Serdán International Airport,"Puebla City, Puebla, Mexico",,
PBD,VAPR,Porbandar Airport[1],"Porbandar, Gujarat, India",,
PBE,SKPR,Morela Airport[1] (Puerto Berrío Airport),"Puerto Berrío, Colombia",,
PBF,KPBF,Grider Field,"Pine Bluff, Arkansas, United States",,
PBG,KPBG,Plattsburgh International Airport,"Plattsburgh, New York, United States",,
PBH,VQPR,Paro International Airport,"Paro, Bhutan",,
PBI,KPBI,Palm Beach International Airport,"West Palm Beach, Florida, United States",,
PBJ,NVSI,Paama Airport[1],"Paama, Vanuatu",,
PBL,SVPC,Bartolomé Salom Airport[1],"Puerto Cabello, Venezuela",,
PBM,SMJP,Johan Adolf Pengel International Airport,"Paramaribo, Suriname",,
PBN,FNPA,Porto Amboim Airport[1],"Porto Amboim, Angola",,
PBO,YPBO,Paraburdoo Airport,"Paraburdoo, Western Australia, Australia",,
PBP,MRIA,Punta Islita Airport,"Punta Islita, Costa Rica",,
PBQ,SWPM,Pimenta Bueno Airport[1],"Pimenta Bueno, Rondônia, Brazil",,
PBR,MGPB,Puerto Barrios Airport[1],"Puerto Barrios, Guatemala",,
PBT,,Puerto Leda Airport[1],"Puerto Leda, Paraguay",,
PBU,VYPT,Putao Airport[1],"Putao, Myanmar",,
PBV,SWPG,Porto dos Gaúchos Airport,"Porto dos Gaúchos, Mato Grosso, Brazil",,
PBX,SWPQ,Fazenda Piraguassu Airport,"Porto Alegre do Norte, Mato Grosso, Brazil",,
PBZ,FAPG,Plettenberg Bay Airport[1],"Plettenberg Bay, South Africa",,
PCA,PAOC,Portage Creek Airport (FAA: A14),"Portage Creek, Alaska, United States",,
PCB,WIHP,Pondok Cabe Airport[1],"South Tangerang, Indonesia",,
PCC,,Puerto Rico Airport[1],"Puerto Rico, Colombia",,
PCD,KPDC,Prairie du Chien Municipal Airport (FAA: PDC),"Prairie du Chien, Wisconsin, United States",,
PCF,FAPS,Potchefstroom Airport[1],"Potchefstroom, South Africa",,
PCH,MHPC,Palacios Airport[1],"Palacios, Honduras",,
PCJ,,Puerto La Victoria Airport[1],"Puerto Casado (La Victoria), Paraguay",,
PCL,SPCL,FAP Captain David Abensur Rengifo International Airport,"Pucallpa, Peru",,
PCM,,Playa del Carmen Airport,"Playa del Carmen, Quintana Roo, Mexico",,
PCN,NZOK,Picton Aerodrome,"Picton, New Zealand",,
PCO,MMPL,Punta Colorada Airstrip[1],"La Ribera, Baja California Sur, Mexico",,
PCP,FPPR,Príncipe Airport[1],"Príncipe Island, São Tomé and Príncipe",,
PCQ,,Boun Neua Airport[1],"Phongsaly, Laos",,
PCR,SKPC,Germán Olano Airport,"Puerto Carreño, Colombia",,
PCS,SNPC,Picos Airport[1],"Picos, Piauí, Brazil",,
PCT,,Princeton Airport (FAA: 39N),"Princeton / Rocky Hill, New Jersey, United States",,
PCU,,Poplarville-Pearl River County Airport[1] (FAA: M13),"Poplarville, Mississippi, United States",,
PCV,,Punta Chivato Airstrip[1],"Punta Chivato, Baja California Sur, Mexico",,
PDA,SKPD,Obando Airport,"Puerto Inírida, Colombia",,
PDB,,Pedro Bay Airport (FAA: 4K0),"Pedro Bay, Alaska, United States",,
PDC,NWWQ,Mueo/Nickel Airport,"Mueo, New Caledonia",,
PDD,FQPO,Ponta do Ouro Airport[1],"Ponta do Ouro, Mozambique",,
PDE,YPDI,Pandie Pandie Airport[1],"Pandie Pandie Station, South Australia, Australia",,
PDF,SIAJ,Faz Taua Airport[1],"Prado, Bahia, Brazil",,
PDG,WIPT,Minangkabau International Airport,"Padang, Indonesia",,
PDI,,Pindiu Airport[1],"Pindiu, Papua New Guinea",,
PDK,KPDK,DeKalb–Peachtree Airport,"Atlanta, Georgia, United States",,
PDL,LPPD,João Paulo II Airport,"Ponta Delgada, Azores, Portugal",,
PDM,,Pedasí Airport[1] (Capt. J. Montenegro Airport),"Pedasí, Panama",,
PDN,,Parndana Airport[1],"Parndana, South Australia, Australia",,
PDO,WIPQ,Pendopo Airport[1],"Pendopo, Indonesia",,
PDP,SULS,Capitán de Corbeta Carlos A. Curbelo International Airport,"Punta del Este, Uruguay",,
PDR,,Presidente Dutra Airport[1],"Presidente Dutra, Maranhão, Brazil",,
PDS,MMPG,Piedras Negras International Airport,"Piedras Negras, Coahuila, Mexico",,
PDT,KPDT,Eastern Oregon Regional Airport,"Pendleton, Oregon, United States",,
PDU,SUPU,Tydeo Larre Borges International Airport,"Paysandú, Uruguay",,
PDV,LBPD,Plovdiv Airport,"Plovdiv, Bulgaria",,
PDX,KPDX,Portland International Airport,"Portland, Oregon, United States",,
PDZ,SVPE,Pedernales Airport[1],"Pedernales, Venezuela",,
PEA,YPSH,Penneshaw Airport[1],"Penneshaw, South Australia, Australia",,
PEB,,Pebane Airport[1],"Pebane, Mozambique",,
PEC,,Pelican Seaplane Base[1],"Pelican, Alaska, United States",,
PED,LKPD,Pardubice Airport,"Pardubice, Czech Republic",,
PEE,USPP,Perm International Airport (Bolshoye Savino Airport),"Perm, Perm Krai, Russia",,
PEF,EDCP,Peenemünde Airfield[1],"Peenemünde, Mecklenburg-Vorpommern, Germany",,
PEG,LIRZ,Perugia San Francesco d'Assisi – Umbria International Airport,"Perugia, Umbria, Italy",,
PEH,SAZP,Comodoro Pedro Zanni Airport,"Pehuajó, Buenos Aires, Argentina",,
PEI,SKPE,Matecaña International Airport,"Pereira, Colombia",,
PEK,ZBAA,Beijing Capital International Airport,"Beijing, China",,
PEL,FXPG,Pelaneng Airport[1],"Pelaneng, Lesotho",,
PEM,SPTU,Padre Aldamiz International Airport,"Puerto Maldonado, Peru",,
PEN,WMKP,Penang International Airport,"Penang, Malaysia",,
PEP,,Peppimenarti Airport[1],"Peppimenarti, Northern Territory, Australia",,
PEQ,KPEQ,Pecos Municipal Airport,"Pecos, Texas, United States",,
PER,YPPH,Perth Airport,"Perth, Western Australia, Australia",,
PES,ULPB,Petrozavodsk Airport (Besovets Airport),"Petrozavodsk, Karelia, Russia",,
PET,SBPK,João Simões Lopes Neto International Airport,"Pelotas, Rio Grande do Sul, Brazil",,
PEU,MHPL,Puerto Lempira Airport[1],"Puerto Lempira, Honduras",,
PEV,LHPP,Pécs-Pogány International Airport[1],"Pécs, Hungary",,
PEW,OPPS,Bacha Khan International Airport,"Peshawar, Pakistan",,
PEX,UUYP,Pechora Airport,"Pechora, Komi Republic, Russia",,
PEY,,Penong Airport[1],"Penong, South Australia, Australia",,
PEZ,UWPP,Penza Airport (Ternovka Airport),"Penza, Penza Oblast, Russia",,
PFB,SBPF,Lauro Kurtz Airport,"Passo Fundo, Rio Grande do Sul, Brazil",,
PFC,KPFC,Pacific City State Airport,"Pacific City, Oregon, United States",,
PFJ,BIPA,Patreksfjörður Airport,"Patreksfjörður, Iceland",,
PFM,,Primrose Aerodrome,"Wood Buffalo, Alberta, Canada",,
PFO,LCPH,Paphos International Airport,"Paphos, Cyprus",,
PFQ,OITP,Parsabad-Moghan Airport[1],"Parsabad, Iran",,
PFR,FZVS,Ilebo Airport[1],"Ilebo, Democratic Republic of the Congo",,
PGA,KPGA,Page Municipal Airport,"Page, Arizona, United States",,
PGB,,Pangoa Airport[1],"Pangoa, Papua New Guinea",,
PGC,,Grant County Airport (FAA: W99),"Petersburg, West Virginia, United States",,
PGD,KPGD,Punta Gorda Airport,"Punta Gorda, Florida, United States",,
PGE,,Yegepa Airport,"Yegepa, Papua New Guinea",,
PGF,LFMP,Perpignan–Rivesaltes Airport,"Perpignan, Languedoc-Roussillon, France",,
PGH,VIPT,Pantnagar Airport[1],"Pantnagar, Uttarakhand, India",,
PGI,FNCH,Chitato Airport[1],"Chitato, Angola",,
PGK,WIPK,Depati Amir Airport[1],"Pangkal Pinang (Pangkalpinang), Indonesia",,
PGL,KPQL,Trent Lott International Airport (FAA: PQL),"Pascagoula, Mississippi, United States",,
PGM,,Port Graham Airport,"Port Graham, Alaska, United States",,
PGN,,Pangia Airport[1],"Pangia, Papua New Guinea",,
PGO,KPSO,Stevens Field (FAA: PSO),"Pagosa Springs, Colorado, United States",,
PGQ,WAEM,Buli Airport,"Buli, North Maluku, Indonesia",,
PGR,KPGR,Kirk Field,"Paragould, Arkansas, United States",,
PGS,,Grand Canyon Caverns Airport (FAA: L37),"Peach Springs, Arizona, United States",,
