RAA,,Rakanda Airport[1],"Rakanda, Papua New Guinea",,
RAB,AYTK,Rabaul Airport (Tokua Airport),"Rabaul, Papua New Guinea",,
RAC,KRAC,John H. Batten Airport,"Racine, Wisconsin, United States",,
RAD,,Road Town Seaplane Base[1],"Tortola, British Overseas Territory of Virgin Islands",,
RAE,OERR,Arar Domestic Airport,"Arar, Saudi Arabia",,
RAF,SAFR,Rafaela Airport[1],"Rafaela, Santa Fe, Argentina",,
RAG,NZRA,Raglan Aerodrome[1],"Raglan, New Zealand",,
RAH,OERF,Rafha Domestic Airport[1],"Rafha, Saudi Arabia",,
RAI,GVNP,Nelson Mandela International Airport,"Praia, Cape Verde",,
RAJ,VARK,Rajkot Airport,"Rajkot, Gujarat, India",,
RAK,GMMX,Marrakesh Menara Airport,"Marrakesh, Morocco",,
RAL,KRAL,Riverside Municipal Airport,"Riverside, California, United States",,
RAM,YRNG,Ramingining Airport[1],"Ramingining, Northern Territory, Australia",,
RAN,LIDR,Ravenna Airport[1],"Ravenna, Emilia-Romagna, Italy",,
RAO,SBRP,Leite Lopes Airport,"Ribeirão Preto, São Paulo, Brazil",,
RAP,KRAP,Rapid City Regional Airport,"Rapid City, South Dakota, United States",,
RAQ,WAWR,Sugimanuru Airport[1],"Muna Island, Indonesia",,
RAR,NCRG,Rarotonga International Airport,"Avarua, Rarotonga, Cook Islands",,
RAS,OIGG,Rasht Airport[1],"Rasht, Iran",,
RAT,USNR,Raduzhny Airport,"Raduzhny, Khanty-Mansi Autonomous Okrug, Russia",,
RAV,SKCN,Cravo Norte Airport[1],"Cravo Norte, Colombia",,
RAW,,Arawa Airport[1],"Arawa, Papua New Guinea",,
RAX,,Oram Airport[1],"Oram, Papua New Guinea",,
RAZ,OPRT,Rawalakot Airport[1],"Rawalakot, Pakistan",,
RBA,GMME,Rabat–Salé Airport,"Rabat, Morocco",,
RBB,SWBR,Borba Airport,"Borba, Amazonas, Brazil",,
RBC,YROI,Robinvale Airport,"Robinvale, Victoria, Australia",,
