,,,
SAA,KSAA,Shively Field,"Saratoga, Wyoming, United States"
SAB,TNCS,Juancho E. Yrausquin Airport,"Saba, Caribbean Netherlands"
SAC,KSAC,Sacramento Executive Airport,"Sacramento, California, United States"
SAD,KSAD,Safford Regional Airport,"Safford, Arizona, United States"
SAF,KSAF,Santa Fe Municipal Airport,"Santa Fe, New Mexico, United States"
SAG,,Shirdi Airport,"Shirdi, Maharashtra, India"
SAH,OYSN,Sana'a International Airport (El Rahaba Airport),"Sana'a, Yemen"
SAK,BIKR,Sauðárkrókur Airport,"Sauðárkrókur, Iceland"
SAL,MSLP,Monseñor Óscar Arnulfo Romero International Airport,"San Salvador, El Salvador"
SAM,,Salamo Airport[1],"Salamo, Papua New Guinea"
SAN,KSAN,San Diego International Airport,"San Diego, California, United States"
SAO[1],,metropolitan area1,"São Paulo, São Paulo, Brazil"
SAP,MHLM,Ramón Villeda Morales International Airport,"San Pedro Sula, Honduras"
SAQ,MYAN,San Andros Airport[1],"Nicholls Town, Andros Island, Bahamas"
SAR,KSAR,Sparta Community Airport (Hunter Field),"Sparta, Illinois, United States"
SAS,KSAS,Salton Sea Airport,"Salton City, California, United States"
SAT,KSAT,San Antonio International Airport,"San Antonio, Texas, United States"
SAU,WATS,Tardamu Airport,"Savu (Sawu), Indonesia"
SAV,KSAV,Savannah/Hilton Head International Airport,"Savannah, Georgia, United States"
SAW,LTFJ,Sabiha Gökçen International Airport,"Istanbul, Turkey"
SAX,,Sambú Airport[1],"Sambú, Panama"
SAY,LIQS,Siena–Ampugnano Airport,"Siena, Tuscany, Italy"
SAZ,GLST,Sasstown Airport,"Sasstown, Liberia"
SBA,KSBA,Santa Barbara Municipal Airport,"Santa Barbara, California, United States"
SBB,SVSB,Santa Bárbara de Barinas Airport[1],"Santa Bárbara, Venezuela"
SBC,AYSO,Selbang Airport[1],"Selbang, Papua New Guinea"
SBD,KSBD,San Bernardino International Airport,"San Bernardino, California, United States"
SBE,AYSA,Suabi Airport[1],"Suabi, Papua New Guinea"
SBF,OADS,Sardeh Band Airport,"Band-e Sardeh Dam, Afghanistan"
SBG,WITN,Maimun Saleh Airport[1],"Sabang, Indonesia"
