TAA,,Tarapaina Airport[1],"Tarapaina, Solomon Islands"
TAB,TTCP,Arthur Napoleon Raymond Robinson International Airport,"Tobago, Trinidad and Tobago"
TAC,RPVA,Daniel Z. Romualdez Airport,"Tacloban, Philippines"
TAD,KTAD,Perry Stokes Airport,"Trinidad, Colorado, United States"
TAE,RKTN,Daegu International Airport,"Daegu, South Korea"
TAF,DAOL,Oran Tafaraoui Airport,"Oran, Algeria"
TAG,RPSP,Bohol–Panglao International Airport,"Tagbilaran, Philippines"
TAH,NVVW,Whitegrass Airport,"Tanna Island, Vanuatu"
TAI,OYTZ,Taiz International Airport,"Taiz (Ta'izz), Yemen"
TAJ,,Tadji Airport,"Aitape, Papua New Guinea"
TAK,RJOT,Takamatsu Airport,"Takamatsu, Shikoku, Japan"
TAL,PATA,Ralph M. Calhoun Memorial Airport,"Tanana, Alaska, United States"
TAM,MMTM,General Francisco Javier Mina International Airport,"Tampico, Tamaulipas, Mexico"
TAN,YTGA,Tangalooma Airport,"Tangalooma, Queensland, Australia"
TAO,ZSQD,Qingdao Jiaodong International Airport,"Qingdao, Shandong, China"
TAP,MMTP,Tapachula International Airport,"Tapachula, Chiapas, Mexico"
TAQ,,Tarcoola Airport[1],"Tarcoola, South Australia, Australia"
TAR,LIBG,Taranto-Grottaglie Airport,"Taranto, Apulia, Italy"
TAS,UTTT,Tashkent International Airport,"Tashkent, Uzbekistan"
TAT,LZTT,Poprad–Tatry Airport,"Poprad, Slovakia"
TAU,,Tauramena Airport[1],"Tauramena, Colombia"
TAV,,Tau Airport (FAA: HI36),"Tau, American Samoa"
TAW,SUTB,Tacuarembó Airport,"Tacuarembó, Uruguay"
TAX,WAPT,Taliabu Airport,"Taliabu, Indonesia"
TAY,EETU,Tartu Airport,"Tartu, Estonia"
TAZ,UTAT,Daşoguz Airport,"Daşoguz (Dashoguz), Turkmenistan"
TBA,,Tabibuga Airport[1],"Tabibuga, Papua New Guinea"
TBB,VVTH,Dong Tac Airport[1],"Tuy Hòa, Vietnam"
TBC,,Tuba City Airport[1] (FAA: T03),"Tuba City, Arizona, United States"
TBD,SKMB,Timbiquí Airport[1],"Timbiquí, Colombia"
TBE,,Timbunke Airport[1],"Timbunke, Papua New Guinea"
TBF,NGTE,Tabiteuea North Airport[1],"Tabiteuea North, Kiribati"
TBG,AYTB,Tabubil Airport[1],"Tabubil, Papua New Guinea"
TBH,RPVU,Tugdan Airport,"Tablas Island, Philippines"
TBI,MYCB,New Bight Airport,"New Bight, Cat Island, Bahamas"
TBJ,DTKA,Tabarka–Aïn Draham International Airport,"Tabarka, Tunisia"
TBK,YTBR,Timber Creek Airport[1],"Timber Creek, Northern Territory, Australia"
TBL,YTAB,Tableland Homestead Airport[1],"Tableland, Western Australia, Australia"
