UAB,LTAG,Incirlik Air Base[1],"Adana, Turkey"
UAC,,San Luis Río Colorado Airport[1],"San Luis Río Colorado, Sonora, Mexico"
UAE,,Mount Aue Airport[1],"Mount Aue, Papua New Guinea"
UAH,NTMU,Ua Huka Airport[1],"Ua Huka, Marquesas Islands, French Polynesia"
UAI,WPDB,Suai Airport[1],"Suai, East Timor"
UAK,BGBW,Narsarsuaq Airport,"Narsarsuaq, Greenland"
UAL,FNUA,Luau Airport,"Luau, Angola"
UAM,PGUA,Andersen Air Force Base,"Hagåtña (Agana), Guam"
UAP,NTMP,Ua Pou Airport[1],"Ua Pou, Marquesas Islands, French Polynesia"
UAQ,SANU,Domingo Faustino Sarmiento Airport,"San Juan, San Juan, Argentina"
UAR,GMFB,Bouarfa Airport[1],"Bouarfa, Morocco"
UAS,HKSB,Samburu Airport[1] (Buffalo Spring Airport),"Samburu, Kenya"
UAX,,Uaxactun Airport[1],"Uaxactun, Guatemala"
UBA,SBUR,Mário de Almeida Franco Airport,"Uberaba, Minas Gerais, Brazil"
UBB,YMAA,Mabuiag Island Airport[1],"Mabuiag Island, Queensland, Australia"
UBI,,Buin Airport[1],"Buin, Papua New Guinea"
UBJ,RJDC,Yamaguchi Ube Airport,"Ube, Honshu, Japan"
UBN,ZMCK,Chinggis Khaan International Airport,"Sergelen, Töv, Mongolia"
UBP,VTUU,Ubon Ratchathani Airport,"Ubon Ratchathani, Thailand"
UBR,WAJU,Ubrub Airport[1],"Ubrub, Indonesia"
UBS,KUBS,Columbus-Lowndes County Airport,"Columbus, Mississippi, United States"
UBT,SDUB,Ubatuba Airport[1] (Gastão Madeira Airport),"Ubatuba, São Paulo, Brazil"
UBU,YKAL,Kalumburu Airport[1],"Kalumburu, Western Australia, Australia"
UCB,,Ulanqab Airport[1],"Ulanqab, Inner Mongolia, China"
UCC,KUCC,Yucca Airstrip (FAA: NV11),"Mercury, Nevada, United States"
UCE,,Eunice Airport (FAA: 4R7),"Eunice, Louisiana, United States"
UCK,UKLC,Lutsk Airport[1],"Lutsk, Ukraine"
UCN,GLBU,Buchanan Airport,"Buchanan, Liberia"
UCT,UUYH,Ukhta Airport,"Ukhta, Komi Republic, Russia"
UCY,KUCY,Everett–Stewart Regional Airport,"Union City, Tennessee, United States"
UDA,YUDA,Undara Airport[1],"Undara, Queensland, Australia"
UDD,KUDD,Bermuda Dunes Airport,"Palm Springs, California, United States"
UDE,EHVK,Volkel Air Base,"Uden, Netherlands"
UDI,SBUL,Ten. Cel. Av. César Bombonato Airport,"Uberlândia, Minas Gerais, Brazil"
UDJ,UKLU,Uzhhorod International Airport[1],"Uzhhorod, Ukraine"
UDN,LIPD,Campoformido Airport[1],"Udine, Friuli-Venezia Giulia, Italy"
UDR,VAUD,Maharana Pratap Airport,"Udaipur, Rajasthan, India"
UEE,YQNS,Queenstown Airport[1],"Queenstown, Tasmania, Australia"
UEL,FQQL,Quelimane Airport,"Quelimane, Mozambique"
UEN,USDU,Urengoy Airport[1],"Urengoy, Yamalo-Nenets Autonomous Okrug, Russia"
UEO,ROKJ,Kumejima Airport[1],"Kumejima, Okinawa Islands, Japan"
UES,KUES,Waukesha County Airport (Crites Field),"Waukesha, Wisconsin, United States"
UET,OPQT,Quetta International Airport,"Quetta, Pakistan"
UFA,UWUU,Ufa International Airport,"Ufa, Bashkortostan, Russia"
UGA,ZMBN,Bulgan Airport,"Bulgan, Mongolia"
UGB,,Ugashik Bay Airport,"Pilot Point, Alaska, United States"
UGC,UTNU,Urgench International Airport,"Urgench, Uzbekistan"
UGI,,San Juan (Uganik) Seaplane Base (FAA: WSJ),"Uganik, Alaska, United States"
UGL,SCGC,Union Glacier Blue-Ice Runway,"Heritage Range, Ellsworth Mountains, Antarctica"
UGN,KUGN,Waukegan National Airport,"Waukegan, Illinois, United States"
UGO,FNUG,Uíge Airport[1],"Uíge, Angola"
UGS,,Ugashik Airport (FAA: 9A8),"Ugashik, Alaska, United States"
UGT,ZMBR,Bulagtai Airport[1],"Bulagtai, Mongolia"
UGU,,Bilogai Airport[1],"Bilogai, Indonesia"
