WAA,PAIW,Wales Airport[1],"Wales, Alaska, United States"
WAC,HAWC,Wacca Airport[1],"Wacca, Ethiopia"
WAD,,Andriamena Airport,"Andriamena, Madagascar"
WAE,OEWD,Wadi al-Dawasir Domestic Airport[1],"Wadi ad-Dawasir (Wadi al-Dawaser), Saudi Arabia"
WAF,OPWN,Wana Airport[1],"Wana, Pakistan"
WAG,NZWU,Whanganui Airport,"Whanganui, New Zealand"
WAH,KBWP,Harry Stern Airport (FAA: BWP),"Wahpeton, North Dakota, United States"
WAI,FMNW,Ambalabe Airport[1],"Antsohihy, Madagascar"
WAJ,,Wawoi Falls Airport[1],"Wawoi Falls, Papua New Guinea"
WAK,FMSZ,Ankazoabo Airport[1],"Ankazoabo, Madagascar"
WAL,KWAL,Wallops Flight Facility,"Wallops Island, Virginia, United States"
WAM,FMMZ,Ambatondrazaka Airport[1],"Ambatondrazaka, Madagascar"
WAO,AYWB,Wabo Airport[1],"Wabo, Papua New Guinea"
WAP,SCAP,Alto Palena Airfield[1],"Palena, Chile"
WAQ,FMMG,Antsalova Airport[1],"Antsalova, Madagascar"
WAR,WAJR,Waris Airport[1],"Waris, Indonesia"
WAS[1],,metropolitan area1,"Washington, D.C., United States"
WAT,EIWF,Waterford Airport,"Waterford, Ireland"
WAU,,Wauchope Airport[1],"Wauchope, New South Wales, Australia"
WAV,YWAV,Wave Hill Airport[1],"Kalkarindji (Wave Hill), Northern Territory, Australia"
WAW,EPWA,Warsaw Chopin Airport,"Warsaw, Poland"
WAX,HLZW,Zuwarah Airport[1],"Zuwarah (Zuara), Libya"
WAY,KWAY,Greene County Airport,"Waynesburg, Pennsylvania, United States"
WAZ,YWCK,Warwick Airport[1],"Warwick, Queensland, Australia"
WBA,WAPV,Wahai Airport[1],"Seram Island, Indonesia"
WBB,,Stebbins Airport,"Stebbins, Alaska, United States"
WBC,,Wapolu Airport[1],"Wapolu, Papua New Guinea"
WBD,FMNF,Befandriana Airport[1],"Befandriana-Avaratra, Madagascar"
WBE,,Ankaizina Airport[1],"Bealanana, Madagascar"
WBG,ETNS,Schleswig Air Base,"Schleswig, Schleswig-Holstein, Germany"
WBK,,West Branch Community Airport[1] (FAA: Y31),"West Branch, Michigan, United States"
